dates,11226_entries,11226_exits
01/01/2019,7364,3284
01/02/2019,19082,6445
01/03/2019,19859,6719
01/04/2019,20241,6685
01/05/2019,9944,3940
01/06/2019,7960,3164
01/07/2019,20140,6771
01/08/2019,20222,6761
01/09/2019,11695,5303
01/10/2019,20154,7096
01/11/2019,20592,6774
01/12/2019,5,376
01/13/2019,12,177
01/14/2019,18796,6292
01/15/2019,20458,6801
01/16/2019,20567,6778
01/17/2019,20517,6689
01/18/2019,20036,6470
01/19/2019,49,354
01/20/2019,42,123
01/21/2019,8718,3162
01/22/2019,19129,6180
01/23/2019,19961,6521
01/24/2019,19086,6246
01/25/2019,20433,6702
01/26/2019,9307,3599
01/27/2019,7155,2799
01/28/2019,20289,6741
01/29/2019,20866,6865
01/30/2019,20403,6933
01/31/2019,17846,5938
02/01/2019,20102,7133
02/02/2019,10121,4156
02/03/2019,7626,3214
02/04/2019,21116,6804
02/05/2019,20328,6724
02/06/2019,21595,7392
02/07/2019,21416,6975
02/08/2019,21357,6826
02/09/2019,12603,4750
02/10/2019,9011,3801
02/11/2019,21270,7036
02/12/2019,19172,6380
02/13/2019,21656,7234
02/14/2019,21745,7189
02/15/2019,21392,7245
02/16/2019,10729,4389
02/17/2019,7955,3264
02/18/2019,11814,4271
02/19/2019,19515,6405
02/20/2019,18362,6017
02/21/2019,19847,6412
02/22/2019,19325,6628
03/02/2019,10419,3963
03/03/2019,7973,3222
03/04/2019,15620,5218
03/05/2019,21713,6997
03/06/2019,21580,6978
03/07/2019,21414,6967
03/08/2019,21473,6716
03/09/2019,11011,4089
03/10/2019,7260,3063
03/11/2019,21470,7147
03/12/2019,21950,7360
03/13/2019,21678,7332
03/14/2019,22326,7268
03/15/2019,21786,7056
03/16/2019,11346,4163
03/17/2019,8483,3410
03/18/2019,21708,7350
03/19/2019,22463,7553
03/20/2019,22539,7972
03/21/2019,21559,7278
03/22/2019,21686,7572
03/23/2019,11199,4185
03/24/2019,8388,3421
03/25/2019,21734,7406
03/26/2019,22476,7785
03/27/2019,22115,7618
03/28/2019,22553,7477
03/29/2019,22096,7475
03/30/2019,12003,4857
03/31/2019,8168,3540
04/01/2019,19915,5932
04/02/2019,22148,7467
04/03/2019,22437,7559
04/04/2019,22556,7726
04/05/2019,21626,7179
04/06/2019,11602,4360
04/07/2019,8471,3599
04/08/2019,21725,7478
04/09/2019,22045,7516
04/10/2019,22344,7679
04/11/2019,22065,7590
04/12/2019,22084,7338
04/13/2019,11705,4388
04/14/2019,8198,3449
04/15/2019,21751,7482
04/16/2019,22544,7575
04/17/2019,22457,7663
04/18/2019,22123,7374
04/19/2019,17229,5862
04/20/2019,10424,4003
04/21/2019,7752,3276
04/22/2019,17930,6077
04/23/2019,19607,6565
04/24/2019,19283,6457
04/25/2019,19156,6584
04/26/2019,18398,6356
04/27/2019,11384,4357
04/28/2019,8253,3432
04/29/2019,21354,7264
04/30/2019,21838,7580
05/01/2019,21859,7442
05/02/2019,21683,7373
05/03/2019,21540,7245
05/04/2019,11294,4162
05/05/2019,7867,3206
05/06/2019,21564,7253
05/07/2019,21978,7393
05/08/2019,22047,7705
05/09/2019,21794,7440
05/10/2019,21694,7222
05/11/2019,11420,4664
05/12/2019,7378,3042
05/13/2019,20968,7152
05/14/2019,22150,7422
05/15/2019,22472,7376
05/16/2019,22380,7427
05/17/2019,21892,7202
05/18/2019,12533,4587
05/19/2019,9017,3583
05/20/2019,21185,7563
05/21/2019,21258,7547
05/22/2019,21814,7639
05/23/2019,20582,7202
05/24/2019,21032,7573
05/25/2019,11415,4367
05/26/2019,8898,3671
05/27/2019,9489,3686
05/28/2019,20699,7199
05/29/2019,21180,7611
05/30/2019,21097,7349
05/31/2019,21810,7341
06/01/2019,11785,4528
06/02/2019,8771,3523
06/03/2019,21230,7453
06/04/2019,20375,6935
06/05/2019,21742,7413
06/06/2019,20709,7087
06/07/2019,21463,7287
06/08/2019,11465,4112
06/09/2019,8501,3452
06/10/2019,19972,6898
06/11/2019,21196,7177
06/12/2019,21977,7427
06/13/2019,21136,7149
06/14/2019,21745,7359
06/22/2019,11040,4250
06/23/2019,8337,3185
06/24/2019,20029,6920
06/25/2019,19625,6689
06/26/2019,19752,7268
06/27/2019,19850,6647
06/28/2019,19572,6613
06/29/2019,11388,4302
06/30/2019,9576,3464
