dates,11231_entries,11231_exits
01/01/2020,3284,1949
01/02/2020,10473,4992
01/03/2020,10686,5018
01/04/2020,5704,3141
01/05/2020,4703,2570
01/06/2020,12011,5487
01/07/2020,12497,5450
01/08/2020,12710,5728
01/09/2020,12819,5674
01/10/2020,12494,5669
01/11/2020,6398,3550
01/12/2020,4692,2657
01/13/2020,12359,5449
01/14/2020,12644,5637
01/15/2020,12583,5633
01/16/2020,12902,5849
01/17/2020,12348,5376
01/18/2020,5473,2892
01/19/2020,4462,2313
01/20/2020,6694,3572
01/21/2020,12259,5585
01/22/2020,12716,5491
01/23/2020,12556,5533
01/24/2020,12393,5488
01/25/2020,5482,3018
01/26/2020,4912,2785
01/27/2020,11783,5112
01/28/2020,12572,5719
01/29/2020,12809,5663
01/30/2020,12861,5457
01/31/2020,12159,5617
02/01/2020,5724,3288
02/02/2020,4522,2658
02/03/2020,12034,5385
02/04/2020,12719,5588
02/05/2020,12961,5616
02/06/2020,13044,5664
02/07/2020,12329,5599
02/08/2020,5843,3336
02/09/2020,4118,2561
02/10/2020,12035,5299
02/11/2020,12742,5394
02/12/2020,12958,5686
02/13/2020,12801,5632
02/14/2020,12037,5376
02/15/2020,5430,3086
02/16/2020,4678,2632
02/17/2020,6217,3042
02/18/2020,10081,4414
02/19/2020,10615,4420
02/20/2020,10730,4522
02/21/2020,10113,4360
02/22/2020,6053,3093
02/23/2020,4575,2479
02/24/2020,11944,5227
02/25/2020,12561,5469
02/26/2020,12555,5449
02/27/2020,12550,5631
02/28/2020,12201,5449
02/29/2020,6224,3424
03/01/2020,4600,2577
03/02/2020,12058,5455
03/03/2020,12470,5389
03/04/2020,12427,5457
03/05/2020,12406,5513
03/06/2020,11516,5236
03/07/2020,5853,2865
03/08/2020,3567,1906
03/09/2020,10320,4384
03/10/2020,10352,4482
03/11/2020,9794,4496
03/12/2020,8461,4203
03/13/2020,5614,2953
03/14/2020,2213,1526
03/15/2020,0,0
03/16/2020,2777,1640
03/17/2020,2221,1341
03/18/2020,1997,1274
03/19/2020,1733,1155
03/20/2020,1501,1080
03/21/2020,698,556
03/22/2020,537,417
03/23/2020,812,644
03/24/2020,898,619
03/25/2020,808,612
03/26/2020,791,575
03/27/2020,750,560
03/28/2020,363,324
03/29/2020,310,320
03/30/2020,636,476
03/31/2020,626,480
04/01/2020,581,473
04/02/2020,527,381
04/03/2020,555,497
04/04/2020,308,292
04/05/2020,294,244
04/06/2020,512,389
04/07/2020,522,352
04/08/2020,506,384
04/09/2020,431,333
04/10/2020,447,397
04/11/2020,322,289
04/12/2020,264,208
04/13/2020,396,309
04/14/2020,491,380
04/15/2020,508,388
04/16/2020,447,351
04/17/2020,491,428
04/18/2020,299,260
04/19/2020,270,249
04/20/2020,461,421
04/21/2020,481,371
04/22/2020,545,439
04/23/2020,533,429
04/24/2020,502,416
04/25/2020,333,314
04/26/2020,248,237
04/27/2020,527,443
04/28/2020,558,449
04/29/2020,538,447
04/30/2020,527,406
05/01/2020,544,480
05/02/2020,375,335
05/03/2020,301,275
05/04/2020,573,475
05/05/2020,585,430
05/06/2020,533,420
05/07/2020,579,453
05/08/2020,608,524
05/09/2020,360,333
05/10/2020,305,273
05/11/2020,579,473
05/12/2020,630,472
05/13/2020,641,526
05/14/2020,636,532
05/15/2020,626,544
05/16/2020,402,391
05/17/2020,354,318
05/18/2020,671,531
05/19/2020,745,557
05/20/2020,721,561
05/21/2020,755,618
05/22/2020,742,612
05/23/2020,395,340
05/24/2020,356,289
05/25/2020,420,376
05/26/2020,725,595
05/27/2020,840,662
05/28/2020,754,636
05/29/2020,772,626
05/30/2020,439,413
05/31/2020,394,339
06/01/2020,839,665
06/02/2020,873,663
06/03/2020,858,687
06/04/2020,948,738
06/05/2020,931,692
06/06/2020,622,476
06/07/2020,476,360
06/08/2020,1025,766
06/09/2020,1096,844
06/10/2020,1161,855
06/11/2020,1064,811
06/12/2020,1214,937
06/13/2020,686,521
06/14/2020,498,423
06/15/2020,1281,912
06/16/2020,1279,908
06/17/2020,1344,952
06/18/2020,1310,1022
06/19/2020,1381,1053
06/20/2020,759,545
06/21/2020,535,444
06/22/2020,1433,1012
06/23/2020,1407,951
06/24/2020,1472,1042
06/25/2020,1578,1147
06/26/2020,1571,1117
06/27/2020,777,634
06/28/2020,677,538
06/29/2020,1532,1112
06/30/2020,1589,1127
