dates,11226_entries,11226_exits
01/01/2020,7117,3232
01/02/2020,18101,5923
01/03/2020,16944,5481
01/04/2020,9876,3703
01/05/2020,7363,3227
01/06/2020,19669,6680
01/07/2020,20191,6705
01/08/2020,20144,6865
01/09/2020,20272,6640
01/10/2020,20396,6664
01/11/2020,10497,3952
01/12/2020,7784,3138
01/13/2020,19756,6722
01/14/2020,20218,6553
01/15/2020,20621,6776
01/16/2020,20468,6833
01/17/2020,19994,6639
01/18/2020,9232,3682
01/19/2020,7538,3097
01/20/2020,11542,4394
01/21/2020,19855,6564
01/22/2020,20027,6540
01/23/2020,20124,6483
01/24/2020,20067,6565
01/25/2020,9338,3623
01/26/2020,7866,3269
01/27/2020,19949,6729
01/28/2020,20903,6989
01/29/2020,21314,6981
01/30/2020,21321,6902
01/31/2020,20732,6934
02/01/2020,10513,4136
02/02/2020,7678,3263
02/03/2020,20476,7015
02/04/2020,21081,6782
02/05/2020,21570,7184
02/06/2020,21081,7050
02/07/2020,20695,6952
02/08/2020,12865,4779
02/09/2020,9910,3942
02/10/2020,20612,6846
02/11/2020,21179,7175
02/12/2020,20862,6933
02/13/2020,21227,7026
02/14/2020,21309,7364
02/15/2020,10061,4185
02/16/2020,7942,3419
02/17/2020,11742,4515
02/18/2020,18739,6470
02/19/2020,19407,6818
02/20/2020,19239,6636
02/21/2020,18700,6834
02/22/2020,12554,4848
02/23/2020,9448,3760
02/24/2020,20498,6801
02/25/2020,20619,6894
02/26/2020,21532,7285
02/27/2020,21414,7372
02/28/2020,21120,7505
02/29/2020,12432,4851
03/01/2020,9449,3871
03/02/2020,20781,7017
03/03/2020,21131,6975
03/04/2020,21270,7039
03/05/2020,21216,6830
03/06/2020,20637,6682
03/07/2020,10878,4179
03/08/2020,7848,3317
03/09/2020,20415,6764
03/10/2020,20195,6646
03/11/2020,20031,6715
03/12/2020,18461,6327
03/13/2020,16987,5847
03/14/2020,8050,3181
03/15/2020,5745,2544
03/16/2020,11778,4460
03/17/2020,10459,4028
03/18/2020,9818,3835
03/19/2020,8967,3559
03/20/2020,8748,3506
03/21/2020,4284,2120
03/22/2020,2826,1426
03/23/2020,5139,2139
03/24/2020,5460,2140
03/25/2020,5152,2040
03/26/2020,5042,1965
03/27/2020,4880,1870
03/28/2020,2552,1317
03/29/2020,1956,1093
03/30/2020,4148,1662
03/31/2020,3881,1518
04/01/2020,3940,1613
04/02/2020,3754,1586
04/03/2020,3804,1563
04/04/2020,2216,1101
04/05/2020,1667,845
04/06/2020,3378,1494
04/07/2020,3352,1423
04/08/2020,3293,1312
04/09/2020,3178,1359
04/10/2020,3091,1307
04/11/2020,2055,1010
04/12/2020,1454,763
04/13/2020,2763,1182
04/14/2020,3236,1396
04/15/2020,3067,1343
04/16/2020,3268,1505
04/17/2020,3337,1462
04/18/2020,2004,1065
04/19/2020,1616,849
04/20/2020,3252,1549
04/21/2020,3162,1469
04/22/2020,3377,1512
04/23/2020,3364,1571
04/24/2020,3313,1511
04/25/2020,2195,1193
04/26/2020,1693,947
04/27/2020,3417,1604
04/28/2020,3600,1619
04/29/2020,3432,1554
04/30/2020,3398,1636
05/01/2020,3694,1656
05/02/2020,2316,1339
05/03/2020,1786,1013
05/04/2020,3749,1703
05/05/2020,3628,1706
05/06/2020,3515,1625
05/07/2020,3565,1607
05/08/2020,3665,1593
05/09/2020,2245,1328
05/10/2020,1843,965
05/11/2020,3564,1611
05/12/2020,3715,1642
05/13/2020,3766,1663
05/14/2020,3828,1730
05/15/2020,4030,1868
05/16/2020,2399,1318
05/17/2020,1823,973
05/18/2020,3929,1703
05/19/2020,3993,1858
05/20/2020,4108,1853
05/21/2020,4171,1855
05/22/2020,4193,1725
05/23/2020,2361,1189
05/24/2020,1970,1056
05/25/2020,2591,1250
05/26/2020,4164,1875
05/27/2020,4390,1860
05/28/2020,4410,1768
05/29/2020,4207,1787
05/30/2020,2595,1450
05/31/2020,2107,1109
06/01/2020,4300,1852
06/02/2020,4494,1950
06/03/2020,4205,1832
06/04/2020,4793,2034
06/05/2020,4640,1969
06/06/2020,2929,1564
06/07/2020,2365,1369
06/08/2020,4817,2144
06/09/2020,4945,2158
06/10/2020,5011,2150
06/11/2020,4877,2102
06/12/2020,5338,2352
06/13/2020,3223,1448
06/14/2020,2621,1253
06/15/2020,5280,2269
06/16/2020,5393,2400
06/17/2020,5388,2401
06/18/2020,5521,2237
06/19/2020,5798,2461
06/20/2020,3386,1505
06/21/2020,2501,1251
06/22/2020,5549,2298
06/23/2020,5637,2461
06/24/2020,5935,2451
06/25/2020,5813,2466
06/26/2020,5941,2419
06/27/2020,3349,1530
06/28/2020,2790,1406
06/29/2020,6088,2083
06/30/2020,5694,2283
