dates,11201_entries,11201_exits
01/01/2020,10546,7114
01/02/2020,17248,9325
01/03/2020,14504,7666
01/04/2020,7446,3894
01/05/2020,9612,3729
01/06/2020,16413,7760
01/07/2020,16746,8104
01/08/2020,16876,8207
01/09/2020,16802,7808
01/10/2020,16647,8065
01/11/2020,7113,6550
01/12/2020,5659,5326
01/13/2020,15486,7058
01/14/2020,16292,8066
01/15/2020,17257,8721
01/16/2020,16755,8430
01/17/2020,16119,8063
01/18/2020,7464,5202
01/19/2020,7939,5706
01/20/2020,10294,6609
01/21/2020,16833,7998
01/22/2020,16744,8136
01/23/2020,17116,8223
01/24/2020,16488,8178
01/25/2020,6978,4720
01/26/2020,8523,5990
01/27/2020,16222,7850
01/28/2020,16845,7904
01/29/2020,17085,8119
01/30/2020,16704,8142
01/31/2020,16257,8228
02/01/2020,8827,5859
02/02/2020,7802,5080
02/03/2020,16951,8462
02/04/2020,16705,7953
02/05/2020,17132,8331
02/06/2020,16585,7915
02/07/2020,16454,7891
02/08/2020,10258,6612
02/09/2020,8011,5569
02/10/2020,16030,7830
02/11/2020,16053,7663
02/12/2020,17171,7995
02/13/2020,16212,7013
02/14/2020,17276,7809
02/15/2020,9098,6474
02/16/2020,8929,6442
02/17/2020,11791,7316
02/18/2020,15596,8065
02/19/2020,17166,8685
02/20/2020,16641,8147
02/21/2020,16532,8264
02/22/2020,10460,6958
02/23/2020,8874,6318
02/24/2020,17083,8039
02/25/2020,16561,7783
02/26/2020,16411,7768
02/27/2020,17512,8319
02/28/2020,17002,8353
02/29/2020,9424,6671
03/01/2020,8002,5855
03/02/2020,16141,7686
03/03/2020,16615,7387
03/04/2020,17359,8451
03/05/2020,16943,8186
03/06/2020,15365,7806
03/07/2020,10439,6841
03/08/2020,8790,6748
03/09/2020,15717,8379
03/10/2020,14067,7578
03/11/2020,13523,7654
03/12/2020,10838,6643
03/13/2020,8232,5889
03/14/2020,4906,4131
03/15/2020,3139,2760
03/16/2020,4608,3579
03/17/2020,3653,2970
03/18/2020,3383,2660
03/19/2020,2752,2187
03/20/2020,2620,2083
03/21/2020,999,859
03/22/2020,634,555
03/23/2020,1389,1195
03/24/2020,1488,1230
03/25/2020,1372,1107
03/26/2020,1366,1174
03/27/2020,1304,1085
03/28/2020,446,351
03/29/2020,335,316
03/30/2020,958,815
03/31/2020,772,696
04/01/2020,803,697
04/02/2020,735,693
04/03/2020,731,661
04/04/2020,397,369
04/05/2020,307,283
04/06/2020,630,602
04/07/2020,591,614
04/08/2020,639,587
04/09/2020,596,576
04/10/2020,587,587
04/11/2020,351,388
04/12/2020,311,332
04/13/2020,547,536
04/14/2020,608,643
04/15/2020,635,640
04/16/2020,599,621
04/17/2020,635,616
04/18/2020,383,389
04/19/2020,386,442
04/20/2020,677,666
04/21/2020,626,662
04/22/2020,697,714
04/23/2020,653,718
04/24/2020,679,687
04/25/2020,469,475
04/26/2020,310,353
04/27/2020,666,669
04/28/2020,767,792
04/29/2020,714,699
04/30/2020,711,689
05/01/2020,731,691
05/02/2020,551,625
05/03/2020,461,505
05/04/2020,832,749
05/05/2020,837,824
05/06/2020,799,721
05/07/2020,834,905
05/08/2020,818,772
05/09/2020,509,460
05/10/2020,474,472
05/11/2020,905,823
05/12/2020,1000,973
05/13/2020,1020,1007
05/14/2020,1046,1009
05/15/2020,1035,1037
05/16/2020,603,680
05/17/2020,505,618
05/18/2020,1102,1006
05/19/2020,1121,1103
05/20/2020,1187,1143
05/21/2020,1228,1192
05/22/2020,1199,1130
05/23/2020,469,519
05/24/2020,654,744
05/25/2020,739,794
05/26/2020,1231,1282
05/27/2020,1299,1253
05/28/2020,1196,1106
05/29/2020,1251,1220
05/30/2020,682,825
05/31/2020,630,714
06/01/2020,1342,1248
06/02/2020,1347,1333
06/03/2020,1382,1223
06/04/2020,1575,1773
06/05/2020,1422,1334
06/06/2020,898,860
06/07/2020,738,826
06/08/2020,1732,1584
06/09/2020,1790,1744
06/10/2020,1833,1827
06/11/2020,1712,1589
06/12/2020,1851,1949
06/13/2020,1103,1163
06/14/2020,866,1059
06/15/2020,1971,1848
06/16/2020,2046,1982
06/17/2020,2060,2029
06/18/2020,2004,1997
06/19/2020,2228,2932
06/20/2020,1117,1411
06/21/2020,886,1172
06/22/2020,2193,2258
06/23/2020,2342,2353
06/24/2020,2334,2368
06/25/2020,2410,2371
06/26/2020,2461,2533
06/27/2020,1089,1261
06/28/2020,954,1193
06/29/2020,2558,2513
06/30/2020,2419,2326
