dates,11217_entries,11217_exits
01/01/2020,1877,1567
01/02/2020,4950,3382
01/03/2020,5227,3473
01/04/2020,3206,2629
01/05/2020,2519,2055
01/06/2020,5670,3740
01/07/2020,5906,4038
01/08/2020,5842,3837
01/09/2020,5675,3833
01/10/2020,5743,3893
01/11/2020,3485,2859
01/12/2020,2639,2341
01/13/2020,5104,3520
01/14/2020,5844,4103
01/15/2020,5815,3698
01/16/2020,5979,3890
01/17/2020,5701,3944
01/18/2020,3015,2431
01/19/2020,2458,2136
01/20/2020,3202,2512
01/21/2020,5603,3787
01/22/2020,5654,3848
01/23/2020,5908,4046
01/24/2020,5458,3745
01/25/2020,2913,2388
01/26/2020,2538,2239
01/27/2020,5545,3607
01/28/2020,5755,3742
01/29/2020,5940,4038
01/30/2020,5862,3816
01/31/2020,5891,4083
02/01/2020,3463,2818
02/02/2020,2665,2201
02/03/2020,5725,3962
02/04/2020,5885,3983
02/05/2020,6175,4039
02/06/2020,5709,4851
02/07/2020,6036,3951
02/08/2020,4242,3071
02/09/2020,3054,2324
02/10/2020,5599,3758
02/11/2020,5917,4047
02/12/2020,6087,4063
02/13/2020,6182,4034
02/14/2020,5920,4174
02/15/2020,2817,2653
02/16/2020,2363,2209
02/17/2020,3078,2457
02/18/2020,5033,3448
02/19/2020,5206,3515
02/20/2020,5154,3578
02/21/2020,5145,3573
02/22/2020,4183,3006
02/23/2020,3184,2392
02/24/2020,5906,3954
02/25/2020,5940,3895
02/26/2020,6367,4034
02/27/2020,6355,3928
02/28/2020,6181,4067
02/29/2020,4172,2942
03/01/2020,3158,2483
03/02/2020,5828,3884
03/03/2020,5971,4096
03/04/2020,6100,4232
03/05/2020,6118,4213
03/06/2020,5775,4074
03/07/2020,3461,2833
03/08/2020,2438,2018
03/09/2020,5097,3357
03/10/2020,4968,3304
03/11/2020,4822,3246
03/12/2020,4342,2929
03/13/2020,3511,2477
03/14/2020,1592,1349
03/15/2020,1161,1014
03/16/2020,1970,1369
03/17/2020,1699,1144
03/18/2020,1599,1147
03/19/2020,1525,1085
03/20/2020,1349,949
03/21/2020,496,475
03/22/2020,347,391
03/23/2020,774,549
03/24/2020,806,606
03/25/2020,804,569
03/26/2020,820,632
03/27/2020,673,583
03/28/2020,372,367
03/29/2020,231,233
03/30/2020,612,474
03/31/2020,586,466
04/01/2020,602,455
04/02/2020,562,399
04/03/2020,560,457
04/04/2020,279,253
04/05/2020,208,214
04/06/2020,502,431
04/07/2020,487,357
04/08/2020,477,358
04/09/2020,412,341
04/10/2020,526,367
04/11/2020,272,280
04/12/2020,198,236
04/13/2020,408,311
04/14/2020,515,359
04/15/2020,473,348
04/16/2020,487,421
04/17/2020,466,422
04/18/2020,242,271
04/19/2020,227,287
04/20/2020,600,500
04/21/2020,547,434
04/22/2020,553,427
04/23/2020,573,486
04/24/2020,562,442
04/25/2020,341,308
04/26/2020,237,293
04/27/2020,575,452
04/28/2020,627,457
04/29/2020,625,457
04/30/2020,530,438
05/01/2020,650,510
05/02/2020,359,369
05/03/2020,331,324
05/04/2020,695,552
05/05/2020,642,527
05/06/2020,645,541
05/07/2020,628,538
05/08/2020,630,516
05/09/2020,370,334
05/10/2020,327,285
05/11/2020,626,465
05/12/2020,636,497
05/13/2020,656,526
05/14/2020,521,606
05/15/2020,616,562
05/16/2020,332,433
05/17/2020,261,305
05/18/2020,716,582
05/19/2020,696,494
05/20/2020,683,519
05/21/2020,724,530
05/22/2020,764,581
05/23/2020,375,411
05/24/2020,308,423
05/25/2020,392,405
05/26/2020,763,596
05/27/2020,815,606
05/28/2020,718,645
05/29/2020,718,609
05/30/2020,373,474
05/31/2020,337,439
06/01/2020,767,589
06/02/2020,783,744
06/03/2020,566,506
06/04/2020,814,696
06/05/2020,752,619
06/06/2020,493,510
06/07/2020,387,405
06/08/2020,773,638
06/09/2020,898,688
06/10/2020,819,672
06/11/2020,763,677
06/12/2020,842,709
06/13/2020,474,551
06/14/2020,452,494
06/15/2020,916,740
06/16/2020,925,743
06/17/2020,860,795
06/18/2020,881,711
06/19/2020,1011,774
06/20/2020,594,589
06/21/2020,519,505
06/22/2020,962,824
06/23/2020,981,847
06/24/2020,978,875
06/25/2020,1056,906
06/26/2020,1018,833
06/27/2020,563,600
06/28/2020,513,532
06/29/2020,1095,822
06/30/2020,1022,879
