dates,11215_entries,11215_exits
01/01/2020,6762,7130
01/02/2020,17233,17128
01/03/2020,18042,17838
01/04/2020,11247,11486
01/05/2020,8810,9340
01/06/2020,19054,18784
01/07/2020,19868,20027
01/08/2020,19760,19347
01/09/2020,19527,19272
01/10/2020,19392,19156
01/11/2020,11809,12919
01/12/2020,9008,9721
01/13/2020,18565,18447
01/14/2020,19656,19678
01/15/2020,20006,19536
01/16/2020,20385,20052
01/17/2020,19431,19370
01/18/2020,10791,11414
01/19/2020,9356,9815
01/20/2020,12616,13000
01/21/2020,19533,19446
01/22/2020,19775,19576
01/23/2020,19666,19455
01/24/2020,19221,19642
01/25/2020,10719,11752
01/26/2020,9273,9909
01/27/2020,18841,18712
01/28/2020,19684,19646
01/29/2020,20300,20072
01/30/2020,19751,19309
01/31/2020,19759,19681
02/01/2020,12214,12909
02/02/2020,9312,9475
02/03/2020,19163,19269
02/04/2020,19872,20260
02/05/2020,20501,20214
02/06/2020,19914,20492
02/07/2020,19516,19188
02/08/2020,13016,13389
02/09/2020,9632,10023
02/10/2020,19022,18750
02/11/2020,19507,19387
02/12/2020,20211,19818
02/13/2020,20333,20025
02/14/2020,19812,19917
02/15/2020,11117,12414
02/16/2020,9399,10079
02/17/2020,12183,12590
02/18/2020,17750,17874
02/19/2020,18625,18324
02/20/2020,18247,18049
02/21/2020,17667,17885
02/22/2020,10730,12684
02/23/2020,8174,9444
02/24/2020,19365,19220
02/25/2020,19905,19780
02/26/2020,20495,19986
02/27/2020,20659,19900
02/28/2020,19604,19460
02/29/2020,10216,11799
03/01/2020,7980,9404
03/02/2020,19292,19235
03/03/2020,19736,19674
03/04/2020,20206,20213
03/05/2020,19955,20414
03/06/2020,18846,19592
03/07/2020,11735,12492
03/08/2020,7584,8277
03/09/2020,16386,16357
03/10/2020,16360,16135
03/11/2020,15488,15817
03/12/2020,13774,14511
03/13/2020,10972,12431
03/14/2020,5408,7052
03/15/2020,3669,4504
03/16/2020,6285,7386
03/17/2020,5350,6334
03/18/2020,4868,6133
03/19/2020,4362,5594
03/20/2020,3903,5141
03/21/2020,1876,2738
03/22/2020,1251,1775
03/23/2020,2296,3207
03/24/2020,2310,3214
03/25/2020,2302,3218
03/26/2020,2179,3109
03/27/2020,2131,3015
03/28/2020,1084,1832
03/29/2020,816,1237
03/30/2020,1800,2552
03/31/2020,1703,2454
04/01/2020,1695,2463
04/02/2020,1548,2255
04/03/2020,1630,2431
04/04/2020,883,1531
04/05/2020,723,1158
04/06/2020,1426,2311
04/07/2020,1461,2188
04/08/2020,1445,2152
04/09/2020,1311,2073
04/10/2020,1285,1958
04/11/2020,874,1571
04/12/2020,621,1078
04/13/2020,1229,1965
04/14/2020,1380,2239
04/15/2020,1370,2066
04/16/2020,1361,2135
04/17/2020,1416,2253
04/18/2020,810,1464
04/19/2020,739,1191
04/20/2020,1465,2345
04/21/2020,1476,2327
04/22/2020,1550,2448
04/23/2020,1492,2382
04/24/2020,1485,2367
04/25/2020,1006,1681
04/26/2020,697,1179
04/27/2020,1594,2424
04/28/2020,1660,2588
04/29/2020,1640,2536
04/30/2020,1577,2506
05/01/2020,1437,2364
05/02/2020,1065,1839
05/03/2020,830,1461
05/04/2020,1719,2626
05/05/2020,1711,2715
05/06/2020,1664,2677
05/07/2020,1796,2633
05/08/2020,1725,2693
05/09/2020,1021,1808
05/10/2020,875,1412
05/11/2020,1714,2642
05/12/2020,1828,2938
05/13/2020,1877,2793
05/14/2020,1722,2841
05/15/2020,1840,2970
05/16/2020,1095,2037
05/17/2020,900,1482
05/18/2020,1939,2879
05/19/2020,1962,2893
05/20/2020,1976,3011
05/21/2020,2010,3026
05/22/2020,2115,3132
05/23/2020,1144,1906
05/24/2020,892,1600
05/25/2020,1174,1948
05/26/2020,2196,3197
05/27/2020,2324,3277
05/28/2020,2180,3275
05/29/2020,2074,3194
05/30/2020,1233,2119
05/31/2020,1011,1652
06/01/2020,2171,3256
06/02/2020,2543,3627
06/03/2020,2459,3417
06/04/2020,2563,3629
06/05/2020,2556,3584
06/06/2020,1635,2514
06/07/2020,1209,1884
06/08/2020,2542,3571
06/09/2020,2806,3951
06/10/2020,2810,3889
06/11/2020,2528,3625
06/12/2020,2956,4150
06/13/2020,1652,2698
06/14/2020,1360,1960
06/15/2020,2916,3948
06/16/2020,3020,4182
06/17/2020,3082,4202
06/18/2020,2997,4169
06/19/2020,3205,4314
06/20/2020,1689,2758
06/21/2020,1366,2056
06/22/2020,3122,4381
06/23/2020,3381,4459
06/24/2020,3304,4548
06/25/2020,3409,4761
06/26/2020,3423,4855
06/27/2020,1948,2966
06/28/2020,1699,2377
06/29/2020,3607,4835
06/30/2020,3435,4875
