dates,11201_entries,11201_exits,11212_entries,11212_exits,11215_entries,11215_exits,11217_entries,11217_exits,11226_entries,11226_exits,11231_entries,11231_exits,11233_entries,11233_exits,11236_entries,11236_exits
4/27/2019,11368,7285,12880,12751,9678,8841,2980,2142,11384,4357,5514,3071,4993,3717,3366,3113
4/28/2019,8149,5403,9472,10406,7242,6639,2257,1984,8253,3432,4087,2204,3621,3010,3384,3121
4/29/2019,17294,7850,26002,23137,17403,16517,5163,3098,21354,7264,11433,4476,7954,6087,3390,3129
4/30/2019,17476,7503,26140,22820,18499,16987,5549,3283,21838,7580,11814,4484,8085,6149,3395,3151
5/1/2019,17557,7585,26678,23787,18855,17677,5486,3355,21859,7442,11926,4611,8246,6399,3313,2947
5/2/2019,18155,8175,26677,23237,19097,17780,5603,3508,21683,7373,12112,4623,8288,6290,1385,1458
5/3/2019,17216,8181,26047,23304,18386,17183,5490,3254,21540,7245,11763,4687,8167,6210,972,985
5/4/2019,9657,6700,12937,12770,10196,10438,2947,2128,11294,4162,5833,3152,4854,3716,3375,3160
5/5/2019,6945,4891,8939,9729,7861,7999,2318,1774,7867,3206,4538,2662,3456,2966,3454,3340
5/6/2019,18025,8481,26297,23393,18101,16937,5420,3311,21564,7253,11397,4268,8149,6364,3461,3241
5/7/2019,18150,7937,26861,23968,18541,17163,5533,3218,21978,7393,11761,4510,8220,6268,3480,3233
5/8/2019,18151,8155,26711,23562,18761,17279,5606,3312,22047,7705,11823,4671,8275,6384,3392,3056
5/9/2019,17889,8269,26728,23541,18786,17563,5650,3399,21794,7440,12255,4636,8244,6267,1537,1550
5/10/2019,16532,7597,26306,22898,17850,16849,5430,3338,21694,7222,11624,4745,8090,6018,895,937
5/11/2019,11161,7145,13543,13201,9691,10748,3020,2579,11420,4664,6083,2981,2221,888,3163,2971
5/12/2019,5279,3415,8418,9055,6605,6834,2217,1737,7378,3042,3563,1941,3185,2681,3412,3208
5/13/2019,16062,6707,24885,22429,17643,16524,5257,3227,20968,7152,11585,4400,7610,6065,3284,3105
5/14/2019,17450,7452,26317,23295,18951,17742,5570,3556,22150,7422,11917,4690,8101,6238,3460,3204
5/15/2019,20038,9129,26749,23682,18910,17634,5646,3256,22472,7376,12110,4689,8316,6133,3037,2800
5/16/2019,20076,9272,26873,23609,18861,17326,5536,3330,22380,7427,12081,4579,8336,6287,1590,1588
5/17/2019,19455,8729,26335,23330,18367,17524,5080,3288,21892,7202,11658,4562,8930,6333,1112,1201
5/18/2019,10741,6973,3706,4113,10621,11706,2986,2129,12533,4587,6504,3934,2501,1298,3253,3123
5/19/2019,9478,6622,2557,2178,8457,8835,2620,1905,9017,3583,4790,2757,1875,854,3540,3291
5/20/2019,16999,7449,26032,23627,18121,16871,5387,3212,21185,7563,11439,4590,7946,6190,3366,3263
5/21/2019,17612,8289,26582,23868,18815,17274,5499,3342,21258,7547,11912,4603,8265,6351,3277,3099
5/22/2019,17897,8098,26777,24062,18701,17460,5622,3329,21814,7639,11914,4847,8234,6429,3360,3050
5/23/2019,16944,7736,25491,22954,18372,17147,5477,3374,20582,7202,11991,4511,7782,5999,1394,1458
5/24/2019,16213,8565,26170,23557,17468,16363,5194,3123,21032,7573,10323,4337,8266,6295,1129,1127
5/25/2019,6573,4462,12525,12765,8523,9415,2127,1592,11415,4367,5226,2912,4605,3471,1249,1282
5/26/2019,7008,4451,10456,10993,6935,7615,1816,1530,8898,3671,3940,2350,3861,3034,3248,3055
5/27/2019,8213,6339,11976,11401,7143,7905,2150,1720,9489,3686,3790,2236,4115,3218,3276,3212
5/28/2019,15951,7169,25227,23845,17785,16918,5278,3310,20699,7199,11375,4459,7704,6227,3335,3116
5/29/2019,17321,7740,26184,24457,18555,17541,5431,3383,21180,7611,11930,4500,7939,6261,3438,3029
5/30/2019,17476,8079,26262,23961,18905,17802,5682,3487,21097,7349,12328,4559,7995,6338,1502,1610
5/31/2019,18078,9741,26872,24328,18499,17458,5466,3389,21810,7341,11583,4605,8375,6342,1074,1183
6/1/2019,10634,8356,13673,13717,9246,10413,2880,2454,11785,4528,5904,3007,4880,3699,3305,3195
6/2/2019,9215,6684,10170,10866,7185,7813,2353,1962,8771,3523,4561,2343,3892,3080,3308,3074
6/3/2019,17543,8341,26081,23341,17982,16939,5500,3419,21230,7453,11384,4583,7949,6162,3448,3394
6/4/2019,18148,8999,24745,22362,17638,16572,5113,3180,20375,6935,10846,4209,7473,5607,3363,3105
6/5/2019,17607,8123,26992,24574,18944,17678,5750,3435,21742,7413,12029,4615,8043,6346,3384,3106
6/6/2019,18190,9171,25072,22423,17937,16686,5233,3149,20709,7087,11449,4250,7667,5914,1526,1549
6/7/2019,17442,9672,26632,24280,18152,17108,5500,3496,21463,7287,11449,4906,8196,6291,1175,1172
6/8/2019,10949,7699,4012,4482,10853,11934,2952,2468,11465,4112,5943,3249,2504,1277,3171,3097
6/9/2019,10663,7769,2679,2468,8650,8137,2445,1805,8501,3452,4453,2641,1944,874,3340,3171
6/10/2019,15639,7368,24397,22814,17192,16187,5066,3211,19972,6898,11094,4437,7467,6135,3431,3238
6/11/2019,17773,8712,25731,23064,18129,16705,5346,3116,21196,7177,11688,4631,7877,6189,3311,3074
6/12/2019,18477,9273,27182,24618,18794,17435,5565,3286,21977,7427,12313,4848,8346,6468,3470,3062
6/13/2019,16677,7885,25836,23239,18606,17335,5471,3444,21136,7149,12377,4678,7742,6120,1612,1591
6/14/2019,17592,8494,26684,23903,17860,17227,5238,3472,21745,7359,11498,4816,8371,6351,1179,1142
6/22/2019,10560,8104,13622,13706,8641,10388,1200,1481,11040,4250,5844,3018,4929,3845,3215,3081
6/23/2019,10025,7752,10425,11361,6762,8427,1006,1336,8337,3185,4681,2480,3957,3091,3262,3096
6/24/2019,17135,10063,24688,22745,16879,15988,5095,3108,20029,6920,10347,4189,7595,5939,3413,3177
6/25/2019,17129,9814,24006,21902,17459,16877,5108,3229,19625,6689,11102,4347,7456,5644,3259,2901
6/26/2019,17897,10953,25544,23156,17785,17039,4821,3057,19752,7268,11154,4553,8142,6385,3159,2885
6/27/2019,17896,9085,23653,21572,17715,16440,4968,2986,19850,6647,10716,4289,7616,6059,1531,1677
6/28/2019,17438,8907,23511,21694,16974,16778,4786,3806,19572,6613,9877,4188,7499,5949,1306,1337
6/29/2019,9325,6581,3830,5267,10840,10464,2998,2030,11388,4302,5401,2753,2411,1339,,
6/30/2019,9377,6886,3169,2956,8817,8260,2513,1977,9576,3464,4815,2536,1918,824,,
