dates,CD16_entries,CD16_exits
01/01/2019,13092,13274
01/02/2019,32262,29827
01/03/2019,33408,31333
01/04/2019,34407,31035
01/05/2019,16560,16393
01/06/2019,13719,13898
01/07/2019,33430,30838
01/08/2019,34534,30453
01/09/2019,35528,31881
01/10/2019,35154,31156
01/11/2019,34354,30357
01/12/2019,16718,16043
01/13/2019,12714,12845
01/14/2019,33942,31558
01/15/2019,35135,31438
01/16/2019,35331,31957
01/17/2019,35143,32465
01/18/2019,33047,31020
01/19/2019,16414,16324
01/20/2019,11231,11324
01/21/2019,15472,14698
01/22/2019,32239,29575
01/23/2019,33922,30895
01/24/2019,30849,29119
01/25/2019,34523,31025
01/26/2019,17053,16757
01/27/2019,13117,13149
01/28/2019,33180,30205
01/29/2019,35238,31989
01/30/2019,33833,30744
01/31/2019,28310,25645
02/01/2019,32783,30208
02/02/2019,18418,16517
02/03/2019,14381,13531
02/04/2019,35479,32637
02/05/2019,33241,29896
02/06/2019,36364,32993
02/07/2019,36269,32760
02/08/2019,36044,32204
02/09/2019,18073,16800
02/10/2019,13691,13145
02/11/2019,35787,32320
02/12/2019,31685,28679
02/13/2019,36282,32184
02/14/2019,36640,32288
02/15/2019,35618,31573
02/16/2019,18730,17223
02/17/2019,14166,12965
02/18/2019,20689,17968
02/19/2019,31057,28180
02/20/2019,29174,26040
02/21/2019,31527,28175
02/22/2019,30946,27554
03/02/2019,17481,16704
03/03/2019,13946,13764
03/04/2019,24922,22470
03/05/2019,35691,32260
03/06/2019,35426,31603
03/07/2019,35236,31687
03/08/2019,35296,32054
03/09/2019,8867,8463
03/10/2019,11350,10138
03/11/2019,34782,29126
03/12/2019,34864,29272
03/13/2019,34696,30102
03/14/2019,34813,28977
03/15/2019,34528,29798
03/16/2019,18234,16427
03/17/2019,13667,12692
03/18/2019,34443,30065
03/19/2019,35185,30289
03/20/2019,35583,30302
03/21/2019,33653,28963
03/22/2019,34270,29385
03/23/2019,17572,16912
03/24/2019,13766,13528
03/25/2019,34059,29542
03/26/2019,35263,29110
03/27/2019,35055,30024
03/28/2019,34958,29650
03/29/2019,34139,29033
03/30/2019,15640,14994
03/31/2019,10659,11195
04/01/2019,34549,29189
04/02/2019,35071,30094
04/03/2019,36039,30000
04/04/2019,35596,30105
04/05/2019,34518,29281
04/06/2019,18545,17058
04/07/2019,13612,13688
04/08/2019,34821,29750
04/09/2019,35192,29938
04/10/2019,35878,30516
04/11/2019,35096,29662
04/12/2019,34730,29640
04/13/2019,17861,16326
04/14/2019,13055,12857
04/15/2019,33021,27656
04/16/2019,34984,30154
04/17/2019,34929,29813
04/18/2019,34788,29371
04/19/2019,27100,23280
04/20/2019,16271,15240
04/21/2019,13036,12906
04/22/2019,27600,23902
04/23/2019,30871,26246
04/24/2019,30540,26482
04/25/2019,30147,25890
04/26/2019,28006,24042
04/27/2019,17873,16468
04/28/2019,13093,13416
04/29/2019,33956,29224
04/30/2019,34225,28969
05/01/2019,34924,30186
05/02/2019,34965,29527
05/03/2019,34214,29514
05/04/2019,17791,16486
05/05/2019,12395,12695
05/06/2019,34446,29757
05/07/2019,35081,30236
05/08/2019,34986,29946
05/09/2019,34972,29808
05/10/2019,34396,28916
05/11/2019,15764,14089
05/12/2019,11603,11736
05/13/2019,32495,28494
05/14/2019,34418,29533
05/15/2019,35065,29815
05/16/2019,35209,29896
05/17/2019,35265,29663
05/18/2019,6207,5411
05/19/2019,4432,3032
05/20/2019,33978,29817
05/21/2019,34847,30219
05/22/2019,35011,30491
05/23/2019,33273,28953
05/24/2019,34436,29852
05/25/2019,17130,16236
05/26/2019,14317,14027
05/27/2019,16091,14619
05/28/2019,32931,30072
05/29/2019,34123,30718
05/30/2019,34257,30299
05/31/2019,35247,30670
06/01/2019,18553,17416
06/02/2019,14062,13946
06/03/2019,34030,29503
06/04/2019,32218,27969
06/05/2019,35035,30920
06/06/2019,32739,28337
06/07/2019,34828,30571
06/08/2019,6516,5759
06/09/2019,4623,3342
06/10/2019,31864,28949
06/11/2019,33608,29253
06/12/2019,35528,31086
06/13/2019,33578,29359
06/14/2019,35055,30254
06/22/2019,18551,17551
06/23/2019,14382,14452
06/24/2019,32283,28684
06/25/2019,31462,27546
06/26/2019,33686,29541
06/27/2019,31269,27631
06/28/2019,31010,27643
06/29/2019,6241,6606
06/30/2019,5087,3780
