dates,11212_entries,11212_exits
01/01/2020,9442,10588
01/02/2020,23377,23440
01/03/2020,24115,23779
01/04/2020,12331,13364
01/05/2020,9462,10963
01/06/2020,25552,25897
01/07/2020,26069,26102
01/08/2020,26079,25842
01/09/2020,25951,25410
01/10/2020,25192,24067
01/11/2020,13146,14433
01/12/2020,9953,11276
01/13/2020,25304,25098
01/14/2020,26202,26110
01/15/2020,26725,26521
01/16/2020,26501,26221
01/17/2020,25269,24880
01/18/2020,10880,11361
01/19/2020,9033,10050
01/20/2020,14865,15170
01/21/2020,24526,24650
01/22/2020,25316,25006
01/23/2020,25414,24960
01/24/2020,25303,24462
01/25/2020,11411,12383
01/26/2020,9945,11416
01/27/2020,24803,24863
01/28/2020,26704,26579
01/29/2020,26763,26716
01/30/2020,26405,26279
01/31/2020,26521,26203
02/01/2020,12839,14209
02/02/2020,9778,11001
02/03/2020,26230,26602
02/04/2020,26970,26725
02/05/2020,27361,26849
02/06/2020,26750,25863
02/07/2020,26338,25859
02/08/2020,13028,14107
02/09/2020,9859,11112
02/10/2020,24847,25570
02/11/2020,22601,25322
02/12/2020,26664,26055
02/13/2020,26919,26327
02/14/2020,26197,25244
02/15/2020,11722,12322
02/16/2020,9233,10199
02/17/2020,14777,14315
02/18/2020,22966,22481
02/19/2020,23200,22558
02/20/2020,22806,22227
02/21/2020,22256,21965
02/22/2020,12811,13784
02/23/2020,9848,11105
02/24/2020,25952,25594
02/25/2020,26360,25952
02/26/2020,26677,26291
02/27/2020,26846,26211
02/28/2020,26410,25448
02/29/2020,12762,13822
03/01/2020,9571,10768
03/02/2020,26681,26183
03/03/2020,26859,26412
03/04/2020,26934,26884
03/05/2020,26999,26462
03/06/2020,25885,25143
03/07/2020,13900,15496
03/08/2020,9665,9792
03/09/2020,25646,23801
03/10/2020,25202,23832
03/11/2020,25188,23728
03/12/2020,23811,22569
03/13/2020,21340,21071
03/14/2020,10191,11188
03/15/2020,7517,8519
03/16/2020,15543,15732
03/17/2020,13950,14268
03/18/2020,13882,14225
03/19/2020,12804,13316
03/20/2020,12121,12841
03/21/2020,5990,7335
03/22/2020,4064,5089
03/23/2020,7589,8404
03/24/2020,8031,8826
03/25/2020,7569,8407
03/26/2020,7669,8515
03/27/2020,7431,8201
03/28/2020,3780,4788
03/29/2020,3050,3880
03/30/2020,6523,7326
03/31/2020,5955,6908
04/01/2020,6334,7308
04/02/2020,6096,6917
04/03/2020,6021,7084
04/04/2020,3334,4518
04/05/2020,2624,3634
04/06/2020,5554,6480
04/07/2020,5521,6738
04/08/2020,5418,6500
04/09/2020,5270,6077
04/10/2020,5029,6243
04/11/2020,3153,4181
04/12/2020,2325,3313
04/13/2020,4509,5465
04/14/2020,5324,6592
04/15/2020,5141,6429
04/16/2020,5097,6557
04/17/2020,5215,6724
04/18/2020,3007,4220
04/19/2020,2686,3836
04/20/2020,5468,6827
04/21/2020,5253,6453
04/22/2020,5541,6930
04/23/2020,5632,6764
04/24/2020,5384,6830
04/25/2020,3398,4676
04/26/2020,2484,3714
04/27/2020,5764,6982
04/28/2020,5909,6983
04/29/2020,5590,6892
04/30/2020,5537,6730
05/01/2020,5821,7353
05/02/2020,3546,5283
05/03/2020,2825,4275
05/04/2020,5922,7473
05/05/2020,6117,7700
05/06/2020,5663,7018
05/07/2020,6148,7467
05/08/2020,5891,7508
05/09/2020,3558,5088
05/10/2020,3010,4353
05/11/2020,5744,7297
05/12/2020,6281,7549
05/13/2020,6313,7751
05/14/2020,6487,7648
05/15/2020,6442,8064
05/16/2020,3688,5294
05/17/2020,2939,4364
05/18/2020,6458,7962
05/19/2020,6543,8045
05/20/2020,6528,8067
05/21/2020,6619,8117
05/22/2020,6666,8487
05/23/2020,3545,5235
05/24/2020,3070,4501
05/25/2020,4121,5438
05/26/2020,6806,8227
05/27/2020,6788,8354
05/28/2020,6708,8321
05/29/2020,6409,8251
05/30/2020,3998,5818
05/31/2020,3138,4770
06/01/2020,6727,8627
06/02/2020,6649,8729
06/03/2020,6881,8567
06/04/2020,7080,9015
06/05/2020,6657,8661
06/06/2020,4182,5804
06/07/2020,3402,4742
06/08/2020,7219,8981
06/09/2020,7702,9214
06/10/2020,7389,9243
06/11/2020,6912,8852
06/12/2020,7639,9452
06/13/2020,4431,6357
06/14/2020,3983,5725
06/15/2020,7577,9349
06/16/2020,8187,9530
06/17/2020,8088,9852
06/18/2020,8143,9463
06/19/2020,8136,9777
06/20/2020,4945,6651
06/21/2020,3910,5391
06/22/2020,7725,9691
06/23/2020,8064,10077
06/24/2020,8475,10094
06/25/2020,8074,10008
06/26/2020,8178,10584
06/27/2020,4523,6544
06/28/2020,3934,5885
06/29/2020,8479,10396
06/30/2020,8749,10185
