dates,11217_entries,11217_exits
01/01/2019,1929,1443
01/02/2019,5412,3466
01/03/2019,5562,3454
01/04/2019,5623,3592
01/05/2019,3046,2318
01/06/2019,2569,2077
01/07/2019,5784,3626
01/08/2019,5742,3710
01/09/2019,5972,3910
01/10/2019,5925,3777
01/11/2019,5943,3791
01/12/2019,3094,2186
01/13/2019,2421,1860
01/14/2019,5781,3867
01/15/2019,5838,3878
01/16/2019,5907,3784
01/17/2019,5783,3890
01/18/2019,5667,3615
01/19/2019,3148,2094
01/20/2019,2288,1706
01/21/2019,2726,2049
01/22/2019,5465,3649
01/23/2019,5806,3767
01/24/2019,5804,3625
01/25/2019,5967,3905
01/26/2019,3196,2716
01/27/2019,2426,1968
01/28/2019,5676,3624
01/29/2019,5975,3957
01/30/2019,5700,3668
01/31/2019,5148,3339
02/01/2019,5693,3784
02/02/2019,3146,2286
02/03/2019,2407,1809
02/04/2019,5787,3886
02/05/2019,5415,3575
02/06/2019,5994,3931
02/07/2019,6184,3940
02/08/2019,6235,4092
02/09/2019,4059,2857
02/10/2019,2951,2310
02/11/2019,5701,3653
02/12/2019,5348,3486
02/13/2019,6024,4065
02/14/2019,6088,3946
02/15/2019,5871,3790
02/16/2019,3022,2308
02/17/2019,2395,1962
02/18/2019,3159,2258
02/19/2019,4947,3199
02/20/2019,4786,3063
02/21/2019,5152,3402
02/22/2019,4980,3327
03/02/2019,1010,1399
03/03/2019,776,1198
03/04/2019,4307,3098
03/05/2019,5969,3910
03/06/2019,6039,3999
03/07/2019,5925,3950
03/08/2019,5860,3884
03/09/2019,1037,1494
03/10/2019,611,902
03/11/2019,5392,3358
03/12/2019,5465,3260
03/13/2019,5519,3608
03/14/2019,5705,3417
03/15/2019,5378,3485
03/16/2019,926,1197
03/17/2019,834,1155
03/18/2019,5285,3183
03/19/2019,1786,763
03/20/2019,5404,3248
03/21/2019,5340,3448
03/22/2019,5303,3387
03/23/2019,2614,1993
03/24/2019,2189,1733
03/25/2019,5163,3097
03/26/2019,5442,3086
03/27/2019,5389,3355
03/28/2019,5374,3232
03/29/2019,5282,3367
03/30/2019,2243,2029
03/31/2019,1808,1585
04/01/2019,5377,3319
04/02/2019,5482,3380
04/03/2019,5557,3389
04/04/2019,5568,3278
04/05/2019,5529,3428
04/06/2019,2897,2092
04/07/2019,2186,1861
04/08/2019,5387,3430
04/09/2019,5667,3654
04/10/2019,5607,3593
04/11/2019,5590,3309
04/12/2019,5599,3468
04/13/2019,2722,2185
04/14/2019,2124,1832
04/15/2019,5358,3283
04/16/2019,5716,3463
04/17/2019,5582,3277
04/18/2019,5554,3496
04/19/2019,4196,2053
04/20/2019,3115,2069
04/21/2019,2326,1811
04/22/2019,4302,2599
04/23/2019,4675,2667
04/24/2019,4532,2579
04/25/2019,4849,2793
04/26/2019,4729,2964
04/27/2019,2980,2142
04/28/2019,2257,1984
04/29/2019,5163,3098
04/30/2019,5549,3283
05/01/2019,5486,3355
05/02/2019,5603,3508
05/03/2019,5490,3254
05/04/2019,2947,2128
05/05/2019,2318,1774
05/06/2019,5420,3311
05/07/2019,5533,3218
05/08/2019,5606,3312
05/09/2019,5650,3399
05/10/2019,5430,3338
05/11/2019,3020,2579
05/12/2019,2217,1737
05/13/2019,5257,3227
05/14/2019,5570,3556
05/15/2019,5646,3256
05/16/2019,5536,3330
05/17/2019,5080,3288
05/18/2019,2986,2129
05/19/2019,2620,1905
05/20/2019,5387,3212
05/21/2019,5499,3342
05/22/2019,5622,3329
05/23/2019,5477,3374
05/24/2019,5194,3123
05/25/2019,2127,1592
05/26/2019,1816,1530
05/27/2019,2150,1720
05/28/2019,5278,3310
05/29/2019,5431,3383
05/30/2019,5682,3487
05/31/2019,5466,3389
06/01/2019,2880,2454
06/02/2019,2353,1962
06/03/2019,5500,3419
06/04/2019,5113,3180
06/05/2019,5750,3435
06/06/2019,5233,3149
06/07/2019,5500,3496
06/08/2019,2952,2468
06/09/2019,2445,1805
06/10/2019,5066,3211
06/11/2019,5346,3116
06/12/2019,5565,3286
06/13/2019,5471,3444
06/14/2019,5238,3472
06/22/2019,1200,1481
06/23/2019,1006,1336
06/24/2019,5095,3108
06/25/2019,5108,3229
06/26/2019,4821,3057
06/27/2019,4968,2986
06/28/2019,4786,3806
06/29/2019,2998,2030
06/30/2019,2513,1977
