dates,11212_entries,11212_exits
01/01/2019,9909,10573
01/02/2019,24906,23836
01/03/2019,25668,24960
01/04/2019,26485,24732
01/05/2019,12629,13208
01/06/2019,10501,11227
01/07/2019,25835,24630
01/08/2019,26676,24343
01/09/2019,27496,25590
01/10/2019,26958,24970
01/11/2019,26379,24064
01/12/2019,12849,12942
01/13/2019,9860,10308
01/14/2019,26299,25028
01/15/2019,27160,25058
01/16/2019,27439,25651
01/17/2019,27104,25722
01/18/2019,25153,24522
01/19/2019,12713,13145
01/20/2019,8722,9178
01/21/2019,11942,11833
01/22/2019,25042,23580
01/23/2019,25987,24602
01/24/2019,23636,23221
01/25/2019,26400,24545
01/26/2019,13323,13692
01/27/2019,10137,10657
01/28/2019,25629,24176
01/29/2019,27196,25539
01/30/2019,26311,24580
01/31/2019,21851,20584
02/01/2019,25075,24029
02/02/2019,12897,12767
02/03/2019,9899,10253
02/04/2019,27342,26018
02/05/2019,25551,23840
02/06/2019,27909,26256
02/07/2019,27996,26370
02/08/2019,27918,25662
02/09/2019,12577,12681
02/10/2019,9552,9958
02/11/2019,27675,25721
02/12/2019,24508,23016
02/13/2019,27998,25818
02/14/2019,28286,25826
02/15/2019,27339,25084
02/16/2019,13172,13012
02/17/2019,9763,9692
02/18/2019,14833,13645
02/19/2019,23765,22451
02/20/2019,22357,20820
02/21/2019,24044,22310
02/22/2019,23582,21778
03/02/2019,12134,12648
03/03/2019,9703,10243
03/04/2019,18870,17918
03/05/2019,27251,25458
03/06/2019,27129,24889
03/07/2019,26991,24993
03/08/2019,26897,25277
03/09/2019,5267,6192
03/10/2019,7685,7438
03/11/2019,26460,22891
03/12/2019,26563,22937
03/13/2019,26539,23793
03/14/2019,26505,22768
03/15/2019,26277,23416
03/16/2019,12374,12268
03/17/2019,9351,9494
03/18/2019,26403,23720
03/19/2019,26938,23888
03/20/2019,27334,23798
03/21/2019,25694,22877
03/22/2019,26177,23187
03/23/2019,13004,13200
03/24/2019,10068,10476
03/25/2019,26020,23250
03/26/2019,26973,22543
03/27/2019,26776,23729
03/28/2019,26846,23299
03/29/2019,26089,22912
03/30/2019,10908,11199
03/31/2019,7381,8345
04/01/2019,26320,22792
04/02/2019,26802,23533
04/03/2019,27586,23618
04/04/2019,27213,23660
04/05/2019,26301,23032
04/06/2019,14060,13669
04/07/2019,10307,10944
04/08/2019,26683,23406
04/09/2019,27023,23578
04/10/2019,27571,24126
04/11/2019,27059,23567
04/12/2019,26689,23410
04/13/2019,13270,12712
04/14/2019,9451,9959
04/15/2019,25346,21662
04/16/2019,26777,23752
04/17/2019,26800,23678
04/18/2019,26764,23160
04/19/2019,20559,18303
04/20/2019,12056,12010
04/21/2019,9727,10152
04/22/2019,21150,18933
04/23/2019,23676,20774
04/24/2019,23329,21036
04/25/2019,23129,20586
04/26/2019,21189,18912
04/27/2019,12880,12751
04/28/2019,9472,10406
04/29/2019,26002,23137
04/30/2019,26140,22820
05/01/2019,26678,23787
05/02/2019,26677,23237
05/03/2019,26047,23304
05/04/2019,12937,12770
05/05/2019,8939,9729
05/06/2019,26297,23393
05/07/2019,26861,23968
05/08/2019,26711,23562
05/09/2019,26728,23541
05/10/2019,26306,22898
05/11/2019,13543,13201
05/12/2019,8418,9055
05/13/2019,24885,22429
05/14/2019,26317,23295
05/15/2019,26749,23682
05/16/2019,26873,23609
05/17/2019,26335,23330
05/18/2019,3706,4113
05/19/2019,2557,2178
05/20/2019,26032,23627
05/21/2019,26582,23868
05/22/2019,26777,24062
05/23/2019,25491,22954
05/24/2019,26170,23557
05/25/2019,12525,12765
05/26/2019,10456,10993
05/27/2019,11976,11401
05/28/2019,25227,23845
05/29/2019,26184,24457
05/30/2019,26262,23961
05/31/2019,26872,24328
06/01/2019,13673,13717
06/02/2019,10170,10866
06/03/2019,26081,23341
06/04/2019,24745,22362
06/05/2019,26992,24574
06/06/2019,25072,22423
06/07/2019,26632,24280
06/08/2019,4012,4482
06/09/2019,2679,2468
06/10/2019,24397,22814
06/11/2019,25731,23064
06/12/2019,27182,24618
06/13/2019,25836,23239
06/14/2019,26684,23903
06/22/2019,13622,13706
06/23/2019,10425,11361
06/24/2019,24688,22745
06/25/2019,24006,21902
06/26/2019,25544,23156
06/27/2019,23653,21572
06/28/2019,23511,21694
06/29/2019,3830,5267
06/30/2019,3169,2956
