dates,11236_entries,11236_exits
01/01/2019,1093,1182
01/02/2019,3245,3028
01/03/2019,3442,3242
01/04/2019,3499,3209
01/05/2019,1484,1472
01/06/2019,1186,1184
01/07/2019,3427,3260
01/08/2019,3585,3360
01/09/2019,3519,3296
01/10/2019,3531,3192
01/11/2019,3410,3085
01/12/2019,1555,1508
01/13/2019,1051,1106
01/14/2019,3320,3067
01/15/2019,3494,3235
01/16/2019,3459,3157
01/17/2019,3516,3260
01/18/2019,3408,3024
01/19/2019,1489,1506
01/20/2019,1011,1012
01/21/2019,1477,1528
01/22/2019,3303,3038
01/23/2019,3273,3055
01/24/2019,3210,2992
01/25/2019,3443,3030
01/26/2019,1576,1542
01/27/2019,1189,1238
01/28/2019,3255,3064
01/29/2019,3547,3212
01/30/2019,3380,3140
01/31/2019,2694,2553
02/01/2019,3073,2977
02/02/2019,1371,1289
02/03/2019,1071,994
02/04/2019,3385,3016
02/05/2019,3320,2846
02/06/2019,2295,1095
02/09/2019,1343,1272
02/10/2019,913,967
02/11/2019,3247,3055
02/12/2019,3030,3004
02/13/2019,3363,3103
02/14/2019,3439,3075
02/15/2019,3393,3115
02/16/2019,1414,1344
02/17/2019,1003,1002
02/18/2019,1611,1417
02/19/2019,3087,2876
02/20/2019,2897,2600
02/21/2019,3107,2695
02/22/2019,3055,2737
03/02/2019,1237,1297
03/03/2019,957,1082
03/04/2019,2446,2240
03/05/2019,3391,3116
03/06/2019,3311,3010
03/07/2019,3268,2871
03/08/2019,3272,2826
03/09/2019,1426,1412
03/10/2019,931,1000
03/11/2019,3377,2988
03/12/2019,3503,3309
03/13/2019,3413,3170
03/14/2019,3383,3125
03/15/2019,3384,2954
03/16/2019,1431,1343
03/17/2019,1018,1020
03/18/2019,3326,3149
03/19/2019,3498,3292
03/20/2019,3503,3156
03/21/2019,3387,3057
03/22/2019,3354,2966
03/23/2019,1467,1520
03/24/2019,1156,1115
03/25/2019,3378,3093
03/26/2019,3451,3193
03/27/2019,3418,3173
03/28/2019,3474,3179
03/29/2019,3434,2982
03/30/2019,62,215
03/31/2019,31,55
04/01/2019,3407,3048
04/02/2019,3462,3171
04/03/2019,3543,3210
04/04/2019,3498,3148
04/05/2019,3417,2991
04/06/2019,1590,1634
04/07/2019,1203,1235
04/08/2019,3459,3129
04/09/2019,3472,3231
04/10/2019,3503,3141
04/11/2019,3550,3278
04/12/2019,3425,3137
04/13/2019,1505,1428
04/14/2019,1012,1138
04/15/2019,3274,2971
04/16/2019,3539,3259
04/17/2019,3406,3134
04/18/2019,3489,3072
04/19/2019,2646,2430
04/20/2019,1328,1415
04/21/2019,1054,1144
04/22/2019,2850,2622
04/23/2019,3190,3008
04/24/2019,3196,2890
04/25/2019,3100,2822
04/26/2019,2779,2589
04/27/2019,1354,1423
04/28/2019,1067,1099
04/29/2019,3366,3113
04/30/2019,3384,3121
05/01/2019,3390,3129
05/02/2019,3395,3151
05/03/2019,3313,2947
05/04/2019,1385,1458
05/05/2019,972,985
05/06/2019,3375,3160
05/07/2019,3454,3340
05/08/2019,3461,3241
05/09/2019,3480,3233
05/10/2019,3392,3056
05/11/2019,1537,1550
05/12/2019,895,937
05/13/2019,3163,2971
05/14/2019,3412,3208
05/15/2019,3284,3105
05/16/2019,3460,3204
05/17/2019,3037,2800
05/18/2019,1590,1588
05/19/2019,1112,1201
05/20/2019,3253,3123
05/21/2019,3540,3291
05/22/2019,3366,3263
05/23/2019,3277,3099
05/24/2019,3360,3050
05/25/2019,1394,1458
05/26/2019,1129,1127
05/27/2019,1249,1282
05/28/2019,3248,3055
05/29/2019,3276,3212
05/30/2019,3335,3116
05/31/2019,3438,3029
06/01/2019,1502,1610
06/02/2019,1074,1183
06/03/2019,3305,3195
06/04/2019,3308,3074
06/05/2019,3448,3394
06/06/2019,3363,3105
06/07/2019,3384,3106
06/08/2019,1526,1549
06/09/2019,1175,1172
06/10/2019,3171,3097
06/11/2019,3340,3171
06/12/2019,3431,3238
06/13/2019,3311,3074
06/14/2019,3470,3062
06/22/2019,1612,1591
06/23/2019,1179,1142
06/24/2019,3215,3081
06/25/2019,3262,3096
06/26/2019,3413,3177
06/27/2019,3259,2901
06/28/2019,3159,2885
06/29/2019,1531,1677
06/30/2019,1306,1337
