dates,11201_entries,11201_exits
01/01/2019,8906,6031
01/02/2019,15293,7554
01/03/2019,15442,7302
01/04/2019,15209,7431
01/05/2019,5158,2594
01/06/2019,5460,2724
01/07/2019,14918,6683
01/08/2019,15482,6989
01/09/2019,16171,7515
01/10/2019,15988,7214
01/11/2019,15217,7126
01/12/2019,8673,5646
01/13/2019,6985,4704
01/14/2019,15360,6470
01/15/2019,15853,6969
01/16/2019,15858,6879
01/17/2019,16087,7218
01/18/2019,15114,6887
01/19/2019,8701,5722
01/20/2019,6147,4076
01/21/2019,7104,4349
01/22/2019,15642,7051
01/23/2019,16038,7152
01/24/2019,15166,6993
01/25/2019,16330,7467
01/26/2019,8179,4808
01/27/2019,6658,4292
01/28/2019,15698,7042
01/29/2019,16140,6729
01/30/2019,15755,6936
01/31/2019,14341,6461
02/01/2019,15519,7776
02/02/2019,7899,5460
02/03/2019,6993,4943
02/04/2019,16054,8136
02/05/2019,17112,8144
02/06/2019,16816,9057
02/07/2019,16587,8218
02/08/2019,15859,7747
02/09/2019,8989,6124
02/10/2019,7247,5217
02/11/2019,16041,7782
02/12/2019,14623,7285
02/13/2019,16579,7534
02/14/2019,16810,8297
02/15/2019,15676,8090
02/16/2019,9107,5556
02/17/2019,7283,4867
02/18/2019,9462,5254
02/19/2019,16065,7218
02/20/2019,15097,6652
02/21/2019,16817,8018
02/22/2019,15726,7672
03/02/2019,7778,4357
03/03/2019,6947,3802
03/04/2019,14693,6162
03/05/2019,17220,6459
03/06/2019,16903,6299
03/07/2019,17147,7147
03/08/2019,16698,7385
03/09/2019,9890,5836
03/10/2019,5408,3624
03/11/2019,17208,7419
03/12/2019,16957,7335
03/13/2019,17153,7399
03/14/2019,17342,7491
03/15/2019,16704,7600
03/16/2019,8793,5341
03/17/2019,7636,4822
03/18/2019,16457,7057
03/19/2019,17078,7317
03/20/2019,17156,7658
03/21/2019,16070,7080
03/22/2019,15888,7163
03/23/2019,9137,5840
03/24/2019,8366,5448
03/25/2019,15340,6921
03/26/2019,16749,7073
03/27/2019,17333,7179
03/28/2019,17573,7794
03/29/2019,16588,7653
03/30/2019,7322,6180
03/31/2019,4447,3335
04/01/2019,16594,6682
04/02/2019,16929,7334
04/03/2019,17807,7464
04/04/2019,17607,7764
04/05/2019,16103,7374
04/06/2019,10052,6178
04/07/2019,9046,5852
04/08/2019,16648,7637
04/09/2019,16709,7141
04/10/2019,17769,7855
04/11/2019,17486,7672
04/12/2019,17160,8042
04/13/2019,9403,4667
04/14/2019,7450,4114
04/15/2019,17133,7238
04/16/2019,18613,8331
04/17/2019,18570,8613
04/18/2019,17905,7562
04/19/2019,16120,8309
04/20/2019,7170,3803
04/21/2019,8105,4508
04/22/2019,15494,7306
04/23/2019,18642,8969
04/24/2019,18031,8700
04/25/2019,17443,8729
04/26/2019,14521,7402
04/27/2019,11368,7285
04/28/2019,8149,5403
04/29/2019,17294,7850
04/30/2019,17476,7503
05/01/2019,17557,7585
05/02/2019,18155,8175
05/03/2019,17216,8181
05/04/2019,9657,6700
05/05/2019,6945,4891
05/06/2019,18025,8481
05/07/2019,18150,7937
05/08/2019,18151,8155
05/09/2019,17889,8269
05/10/2019,16532,7597
05/11/2019,11161,7145
05/12/2019,5279,3415
05/13/2019,16062,6707
05/14/2019,17450,7452
05/15/2019,20038,9129
05/16/2019,20076,9272
05/17/2019,19455,8729
05/18/2019,10741,6973
05/19/2019,9478,6622
05/20/2019,16999,7449
05/21/2019,17612,8289
05/22/2019,17897,8098
05/23/2019,16944,7736
05/24/2019,16213,8565
05/25/2019,6573,4462
05/26/2019,7008,4451
05/27/2019,8213,6339
05/28/2019,15951,7169
05/29/2019,17321,7740
05/30/2019,17476,8079
05/31/2019,18078,9741
06/01/2019,10634,8356
06/02/2019,9215,6684
06/03/2019,17543,8341
06/04/2019,18148,8999
06/05/2019,17607,8123
06/06/2019,18190,9171
06/07/2019,17442,9672
06/08/2019,10949,7699
06/09/2019,10663,7769
06/10/2019,15639,7368
06/11/2019,17773,8712
06/12/2019,18477,9273
06/13/2019,16677,7885
06/14/2019,17592,8494
06/22/2019,10560,8104
06/23/2019,10025,7752
06/24/2019,17135,10063
06/25/2019,17129,9814
06/26/2019,17897,10953
06/27/2019,17896,9085
06/28/2019,17438,8907
06/29/2019,9325,6581
06/30/2019,9377,6886
