dates,11233_entries,11233_exits
01/01/2019,3183,2701
01/02/2019,7356,5991
01/03/2019,7740,6373
01/04/2019,7922,6303
01/05/2019,3931,3185
01/06/2019,3218,2671
01/07/2019,7595,6208
01/08/2019,7858,6110
01/09/2019,8032,6291
01/10/2019,8196,6186
01/11/2019,7975,6293
01/12/2019,3869,3101
01/13/2019,2854,2537
01/14/2019,7643,6530
01/15/2019,7975,6380
01/16/2019,7892,6306
01/17/2019,8039,6743
01/18/2019,7894,6498
01/19/2019,3701,3179
01/20/2019,2509,2146
01/21/2019,3530,2865
01/22/2019,7197,5995
01/23/2019,7935,6293
01/24/2019,7213,5898
01/25/2019,8123,6480
01/26/2019,3730,3065
01/27/2019,2980,2492
01/28/2019,7551,6029
01/29/2019,8042,6450
01/30/2019,7522,6164
01/31/2019,6459,5061
02/01/2019,7708,6179
02/02/2019,5521,3750
02/03/2019,4482,3278
02/04/2019,8137,6619
02/05/2019,7690,6056
02/06/2019,8455,6737
02/07/2019,8273,6390
02/08/2019,8126,6542
02/09/2019,5496,4119
02/10/2019,4139,3187
02/11/2019,8112,6599
02/12/2019,7177,5663
02/13/2019,8284,6366
02/14/2019,8354,6462
02/15/2019,8279,6489
02/16/2019,5558,4211
02/17/2019,4403,3273
02/18/2019,5856,4323
02/19/2019,7292,5729
02/20/2019,6817,5220
02/21/2019,7483,5865
02/22/2019,7364,5776
03/02/2019,5347,4056
03/03/2019,4243,3521
03/04/2019,6052,4552
03/05/2019,8440,6802
03/06/2019,8297,6714
03/07/2019,8245,6694
03/08/2019,8399,6777
03/09/2019,3600,2271
03/10/2019,3665,2700
03/11/2019,8322,6235
03/12/2019,8301,6335
03/13/2019,8157,6309
03/14/2019,8308,6209
03/15/2019,8251,6382
03/16/2019,5860,4159
03/17/2019,4316,3198
03/18/2019,8040,6345
03/19/2019,8247,6401
03/20/2019,8249,6504
03/21/2019,7959,6086
03/22/2019,8093,6198
03/23/2019,4568,3712
03/24/2019,3698,3052
03/25/2019,8039,6292
03/26/2019,8290,6567
03/27/2019,8279,6295
03/28/2019,8112,6351
03/29/2019,8050,6121
03/30/2019,4732,3795
03/31/2019,3278,2850
04/01/2019,8229,6397
04/02/2019,8269,6561
04/03/2019,8453,6382
04/04/2019,8383,6445
04/05/2019,8217,6249
04/06/2019,4485,3389
04/07/2019,3305,2744
04/08/2019,8138,6344
04/09/2019,8169,6360
04/10/2019,8307,6390
04/11/2019,8037,6095
04/12/2019,8041,6230
04/13/2019,4591,3614
04/14/2019,3604,2898
04/15/2019,7675,5994
04/16/2019,8207,6402
04/17/2019,8129,6135
04/18/2019,8024,6211
04/19/2019,6541,4977
04/20/2019,4215,3230
04/21/2019,3309,2754
04/22/2019,6450,4969
04/23/2019,7195,5472
04/24/2019,7211,5446
04/25/2019,7018,5304
04/26/2019,6817,5130
04/27/2019,4993,3717
04/28/2019,3621,3010
04/29/2019,7954,6087
04/30/2019,8085,6149
05/01/2019,8246,6399
05/02/2019,8288,6290
05/03/2019,8167,6210
05/04/2019,4854,3716
05/05/2019,3456,2966
05/06/2019,8149,6364
05/07/2019,8220,6268
05/08/2019,8275,6384
05/09/2019,8244,6267
05/10/2019,8090,6018
05/11/2019,2221,888
05/12/2019,3185,2681
05/13/2019,7610,6065
05/14/2019,8101,6238
05/15/2019,8316,6133
05/16/2019,8336,6287
05/17/2019,8930,6333
05/18/2019,2501,1298
05/19/2019,1875,854
05/20/2019,7946,6190
05/21/2019,8265,6351
05/22/2019,8234,6429
05/23/2019,7782,5999
05/24/2019,8266,6295
05/25/2019,4605,3471
05/26/2019,3861,3034
05/27/2019,4115,3218
05/28/2019,7704,6227
05/29/2019,7939,6261
05/30/2019,7995,6338
05/31/2019,8375,6342
06/01/2019,4880,3699
06/02/2019,3892,3080
06/03/2019,7949,6162
06/04/2019,7473,5607
06/05/2019,8043,6346
06/06/2019,7667,5914
06/07/2019,8196,6291
06/08/2019,2504,1277
06/09/2019,1944,874
06/10/2019,7467,6135
06/11/2019,7877,6189
06/12/2019,8346,6468
06/13/2019,7742,6120
06/14/2019,8371,6351
06/22/2019,4929,3845
06/23/2019,3957,3091
06/24/2019,7595,5939
06/25/2019,7456,5644
06/26/2019,8142,6385
06/27/2019,7616,6059
06/28/2019,7499,5949
06/29/2019,2411,1339
06/30/2019,1918,824
