dates,CD17_entries,CD17_exits
01/01/2020,8124,4400
01/02/2020,21022,8923
01/03/2020,20016,8420
01/04/2020,11205,5165
01/05/2020,8381,4361
01/06/2020,22909,9889
01/07/2020,23546,9942
01/08/2020,23309,10122
01/09/2020,23458,9802
01/10/2020,23626,9711
01/11/2020,11886,5424
01/12/2020,8841,4301
01/13/2020,22970,9855
01/14/2020,23560,9811
01/15/2020,23830,9978
01/16/2020,23757,10039
01/17/2020,23101,9692
01/18/2020,10326,4886
01/19/2020,8461,4064
01/20/2020,13183,6130
01/21/2020,22988,9554
01/22/2020,23104,9539
01/23/2020,23233,9423
01/24/2020,23111,9373
01/25/2020,10577,4907
01/26/2020,8830,4385
01/27/2020,23077,9791
01/28/2020,24321,10198
01/29/2020,24613,10130
01/30/2020,24587,9991
01/31/2020,23929,10035
02/01/2020,11799,5531
02/02/2020,8639,4355
02/03/2020,23702,10205
02/04/2020,24405,10051
02/05/2020,24860,10336
02/06/2020,24282,10199
02/07/2020,23847,9945
02/08/2020,14211,6270
02/09/2020,10883,5035
02/10/2020,23794,9887
02/11/2020,24466,10215
02/12/2020,24122,9966
02/13/2020,24552,10034
02/14/2020,24465,10308
02/15/2020,11238,5357
02/16/2020,8823,4370
02/17/2020,13316,5985
02/18/2020,21639,9251
02/19/2020,22263,9473
02/20/2020,22113,9346
02/21/2020,21437,9501
02/22/2020,13818,6202
02/23/2020,10430,4849
02/24/2020,23648,9905
02/25/2020,23854,10109
02/26/2020,24704,10313
02/27/2020,24567,10321
02/28/2020,24180,10400
02/29/2020,13686,6106
03/01/2020,10407,4868
03/02/2020,23925,10130
03/03/2020,24439,10067
03/04/2020,24332,9987
03/05/2020,24401,9870
03/06/2020,23745,9612
03/07/2020,12170,5505
03/08/2020,8813,4308
03/09/2020,23571,9894
03/10/2020,23392,9834
03/11/2020,23106,9843
03/12/2020,21299,9209
03/13/2020,19661,8475
03/14/2020,9128,4370
03/15/2020,6532,3453
03/16/2020,13784,6515
03/17/2020,12346,6013
03/18/2020,11558,5749
03/19/2020,10588,5385
03/20/2020,10233,5174
03/21/2020,4943,2963
03/22/2020,3248,1997
03/23/2020,6120,3271
03/24/2020,6503,3410
03/25/2020,6150,3255
03/26/2020,6033,3160
03/27/2020,5818,3042
03/28/2020,2967,1956
03/29/2020,2297,1549
03/30/2020,4997,2718
03/31/2020,4710,2570
04/01/2020,4775,2686
04/02/2020,4547,2569
04/03/2020,4605,2491
04/04/2020,2598,1686
04/05/2020,2001,1288
04/06/2020,4126,2452
04/07/2020,4059,2429
04/08/2020,3997,2269
04/09/2020,3845,2273
04/10/2020,3735,2192
04/11/2020,2422,1586
04/12/2020,1734,1171
04/13/2020,3353,1939
04/14/2020,3959,2438
04/15/2020,3792,2290
04/16/2020,3999,2456
04/17/2020,3982,2381
04/18/2020,2391,1625
04/19/2020,1931,1287
04/20/2020,4014,2498
04/21/2020,3866,2426
04/22/2020,4107,2512
04/23/2020,4068,2568
04/24/2020,4018,2491
04/25/2020,2596,1784
04/26/2020,1977,1372
04/27/2020,4142,2581
04/28/2020,4380,2592
04/29/2020,4212,2541
04/30/2020,4158,2622
05/01/2020,4483,2672
05/02/2020,2663,1974
05/03/2020,2087,1523
05/04/2020,4544,2729
05/05/2020,4472,2824
05/06/2020,4290,2631
05/07/2020,4404,2638
05/08/2020,4448,2595
05/09/2020,2645,2015
05/10/2020,2173,1471
05/11/2020,4380,2615
05/12/2020,4539,2740
05/13/2020,4577,2716
05/14/2020,4674,2753
05/15/2020,4872,2930
05/16/2020,2794,2011
05/17/2020,2156,1461
05/18/2020,4796,2759
05/19/2020,4867,2970
05/20/2020,4954,2900
05/21/2020,5000,2946
05/22/2020,5072,2836
05/23/2020,2789,1846
05/24/2020,2334,1543
05/25/2020,3102,1887
05/26/2020,5065,3048
05/27/2020,5312,3005
05/28/2020,5293,2847
05/29/2020,5034,2905
05/30/2020,3045,2198
05/31/2020,2482,1652
06/01/2020,5248,3070
06/02/2020,5371,3154
06/03/2020,5088,2995
06/04/2020,5747,3208
06/05/2020,5550,3109
06/06/2020,3420,2306
06/07/2020,2728,1856
06/08/2020,5782,3314
06/09/2020,5892,3397
06/10/2020,6015,3406
06/11/2020,5806,3233
06/12/2020,6362,3635
06/13/2020,3678,2206
06/14/2020,3016,1801
06/15/2020,6269,3514
06/16/2020,6392,3735
06/17/2020,6417,3724
06/18/2020,6591,3532
06/19/2020,6860,3863
06/20/2020,3928,2351
06/21/2020,2952,1884
06/22/2020,6461,3618
06/23/2020,6711,3873
06/24/2020,7016,3826
06/25/2020,6853,3833
06/26/2020,7023,3795
06/27/2020,3901,2286
06/28/2020,3237,2017
06/29/2020,7118,3430
06/30/2020,6767,3673
