dates,11215_entries,11215_exits
01/01/2019,6497,6707
01/02/2019,17572,17004
01/03/2019,18609,17824
01/04/2019,18440,18127
01/05/2019,9792,10103
01/06/2019,8111,8276
01/07/2019,18867,18017
01/08/2019,19229,18445
01/09/2019,19319,18610
01/10/2019,19477,18585
01/11/2019,19183,18475
01/12/2019,10964,11557
01/13/2019,8309,8546
01/14/2019,18869,18302
01/15/2019,19401,18998
01/16/2019,19524,18991
01/17/2019,19482,19181
01/18/2019,18641,17905
01/19/2019,10653,10968
01/20/2019,7726,7946
01/21/2019,9373,9924
01/22/2019,18580,18099
01/23/2019,19150,18621
01/24/2019,18914,17832
01/25/2019,19322,18648
01/26/2019,11229,11876
01/27/2019,8172,8705
01/28/2019,18464,17988
01/29/2019,19683,18981
01/30/2019,18664,18394
01/31/2019,17268,16594
02/01/2019,18625,18378
02/02/2019,10900,11941
02/03/2019,8020,8490
02/04/2019,18833,18879
02/05/2019,18531,18348
02/06/2019,20020,19613
02/07/2019,20073,19149
02/08/2019,19732,19313
02/09/2019,12775,12911
02/10/2019,9618,9609
02/11/2019,19071,18459
02/12/2019,18185,17571
02/13/2019,19762,19020
02/14/2019,19815,19085
02/15/2019,18969,18089
02/16/2019,11084,11140
02/17/2019,8935,9147
02/18/2019,11700,11679
02/19/2019,17469,17097
02/20/2019,17335,16868
02/21/2019,18164,17474
02/22/2019,17569,17129
03/02/2019,9855,12025
03/03/2019,7752,9134
03/04/2019,15455,15423
03/05/2019,20146,19243
03/06/2019,20274,19601
03/07/2019,20129,19538
03/08/2019,19736,19363
03/09/2019,10605,13362
03/10/2019,6139,7473
03/11/2019,18088,16837
03/12/2019,18495,17059
03/13/2019,18504,17435
03/14/2019,18833,17770
03/15/2019,18451,17171
03/16/2019,6984,9064
03/17/2019,5543,7188
03/18/2019,17486,16675
03/19/2019,14601,14326
03/20/2019,18468,17226
03/21/2019,18137,16925
03/22/2019,17521,16125
03/23/2019,10070,10405
03/24/2019,8055,7987
03/25/2019,17378,16116
03/26/2019,18175,16441
03/27/2019,18331,16921
03/28/2019,18498,17140
03/29/2019,17887,17261
03/30/2019,10675,11091
03/31/2019,7914,8310
04/01/2019,17904,17567
04/02/2019,18713,17950
04/03/2019,19079,18189
04/04/2019,18996,18341
04/05/2019,18846,18093
04/06/2019,10482,10614
04/07/2019,7579,8023
04/08/2019,18038,17118
04/09/2019,18512,17345
04/10/2019,18855,17160
04/11/2019,18755,17204
04/12/2019,18516,17221
04/13/2019,10327,10741
04/14/2019,8216,8579
04/15/2019,18028,16762
04/16/2019,19119,17422
04/17/2019,18885,17323
04/18/2019,18760,17193
04/19/2019,14921,13354
04/20/2019,8431,5742
04/21/2019,6043,4304
04/22/2019,15527,14496
04/23/2019,16381,15058
04/24/2019,16484,14992
04/25/2019,16828,15243
04/26/2019,15787,14660
04/27/2019,9678,8841
04/28/2019,7242,6639
04/29/2019,17403,16517
04/30/2019,18499,16987
05/01/2019,18855,17677
05/02/2019,19097,17780
05/03/2019,18386,17183
05/04/2019,10196,10438
05/05/2019,7861,7999
05/06/2019,18101,16937
05/07/2019,18541,17163
05/08/2019,18761,17279
05/09/2019,18786,17563
05/10/2019,17850,16849
05/11/2019,9691,10748
05/12/2019,6605,6834
05/13/2019,17643,16524
05/14/2019,18951,17742
05/15/2019,18910,17634
05/16/2019,18861,17326
05/17/2019,18367,17524
05/18/2019,10621,11706
05/19/2019,8457,8835
05/20/2019,18121,16871
05/21/2019,18815,17274
05/22/2019,18701,17460
05/23/2019,18372,17147
05/24/2019,17468,16363
05/25/2019,8523,9415
05/26/2019,6935,7615
05/27/2019,7143,7905
05/28/2019,17785,16918
05/29/2019,18555,17541
05/30/2019,18905,17802
05/31/2019,18499,17458
06/01/2019,9246,10413
06/02/2019,7185,7813
06/03/2019,17982,16939
06/04/2019,17638,16572
06/05/2019,18944,17678
06/06/2019,17937,16686
06/07/2019,18152,17108
06/08/2019,10853,11934
06/09/2019,8650,8137
06/10/2019,17192,16187
06/11/2019,18129,16705
06/12/2019,18794,17435
06/13/2019,18606,17335
06/14/2019,17860,17227
06/22/2019,8641,10388
06/23/2019,6762,8427
06/24/2019,16879,15988
06/25/2019,17459,16877
06/26/2019,17785,17039
06/27/2019,17715,16440
06/28/2019,16974,16778
06/29/2019,10840,10464
06/30/2019,8817,8260
