dates,11233_entries,11233_exits
01/01/2020,3220,2966
01/02/2020,7131,6237
01/03/2020,7447,6172
01/04/2020,4421,3728
01/05/2020,3426,3090
01/06/2020,7666,6754
01/07/2020,7832,6782
01/08/2020,7934,6688
01/09/2020,7769,6585
01/10/2020,8010,6579
01/11/2020,4648,3971
01/12/2020,3658,3461
01/13/2020,7661,6351
01/14/2020,7877,6648
01/15/2020,8002,6847
01/16/2020,7909,6684
01/17/2020,7825,6586
01/18/2020,4716,3704
01/19/2020,4207,3396
01/20/2020,4727,3942
01/21/2020,7640,6315
01/22/2020,7797,6495
01/23/2020,7825,6617
01/24/2020,7924,6413
01/25/2020,4255,3426
01/26/2020,3717,3173
01/27/2020,7689,6598
01/28/2020,8087,6925
01/29/2020,8170,7097
01/30/2020,8255,6869
01/31/2020,8332,6827
02/01/2020,4784,4128
02/02/2020,3617,3127
02/03/2020,3106,1322
02/04/2020,8235,7001
02/05/2020,8176,6862
02/06/2020,8104,7005
02/07/2020,8132,6831
02/08/2020,4828,3957
02/09/2020,3672,3390
02/10/2020,7881,6693
02/11/2020,7330,6587
02/12/2020,8002,6880
02/13/2020,8028,6784
02/14/2020,7886,6888
02/15/2020,5235,4092
02/16/2020,4308,3470
02/17/2020,5999,4574
02/18/2020,7129,5953
02/19/2020,7200,6014
02/20/2020,7280,6105
02/21/2020,7212,5920
02/22/2020,4752,3782
02/23/2020,3853,3338
02/24/2020,7893,6888
02/25/2020,7864,6854
02/26/2020,8065,6933
02/27/2020,8047,6776
02/28/2020,8120,6737
02/29/2020,4862,4127
03/01/2020,1872,2333
03/02/2020,7983,6804
03/03/2020,8085,6914
03/04/2020,8253,6840
03/05/2020,8022,6827
03/06/2020,7880,6736
03/07/2020,5319,4356
03/08/2020,3987,2927
03/09/2020,7728,6387
03/10/2020,7557,6170
03/11/2020,7621,6123
03/12/2020,7029,5850
03/13/2020,6432,5198
03/14/2020,3728,3109
03/15/2020,2740,2514
03/16/2020,4457,3930
03/17/2020,4055,3528
03/18/2020,3744,3375
03/19/2020,3584,3217
03/20/2020,3431,2902
03/21/2020,2031,1993
03/22/2020,1482,1489
03/23/2020,2056,2008
03/24/2020,2239,2137
03/25/2020,2062,2041
03/26/2020,2092,1919
03/27/2020,2070,1855
03/28/2020,1127,1273
03/29/2020,890,993
03/30/2020,1707,1682
03/31/2020,1682,1673
04/01/2020,1752,1808
04/02/2020,1639,1619
04/03/2020,1657,1685
04/04/2020,978,1032
04/05/2020,813,1017
04/06/2020,1555,1593
04/07/2020,1534,1632
04/08/2020,1528,1662
04/09/2020,1367,1438
04/10/2020,1512,1549
04/11/2020,960,1059
04/12/2020,726,882
04/13/2020,1306,1350
04/14/2020,1528,1649
04/15/2020,1412,1532
04/16/2020,1385,1554
04/17/2020,1544,1577
04/18/2020,1010,1191
04/19/2020,815,996
04/20/2020,1491,1636
04/21/2020,1369,1593
04/22/2020,1551,1565
04/23/2020,1493,1595
04/24/2020,1524,1623
04/25/2020,1056,1202
04/26/2020,779,972
04/27/2020,1512,1618
04/28/2020,1555,1612
04/29/2020,1436,1556
04/30/2020,1535,1569
05/01/2020,1721,1796
05/02/2020,1023,1254
05/03/2020,866,1085
05/04/2020,1660,1735
05/05/2020,1654,1728
05/06/2020,1605,1665
05/07/2020,1696,1721
05/08/2020,1710,1693
05/09/2020,1055,1247
05/10/2020,961,1075
05/11/2020,1576,1744
05/12/2020,1705,1736
05/13/2020,1718,1784
05/14/2020,1767,1646
05/15/2020,1811,1869
05/16/2020,1083,1222
05/17/2020,907,1068
05/18/2020,1729,1759
05/19/2020,1761,1848
05/20/2020,1803,1888
05/21/2020,1849,1862
05/22/2020,1931,1967
05/23/2020,1089,1300
05/24/2020,974,1112
05/25/2020,1222,1322
05/26/2020,1961,2039
05/27/2020,1920,2038
05/28/2020,1827,1939
05/29/2020,1946,1966
05/30/2020,1295,1389
05/31/2020,979,1069
06/01/2020,1896,2181
06/02/2020,2005,1861
06/03/2020,1889,1870
06/04/2020,1887,1964
06/05/2020,2000,1968
06/06/2020,1348,1492
06/07/2020,1070,1183
06/08/2020,1996,2128
06/09/2020,2024,2101
06/10/2020,2144,2091
06/11/2020,2034,2103
06/12/2020,2467,2291
06/13/2020,1448,1551
06/14/2020,1150,1264
06/15/2020,2185,2258
06/16/2020,2369,2253
06/17/2020,2264,2203
06/18/2020,2277,2221
06/19/2020,2247,2253
06/20/2020,1520,1672
06/21/2020,1203,1353
06/22/2020,2286,2355
06/23/2020,2429,2478
06/24/2020,2427,2495
06/25/2020,2385,2449
06/26/2020,2571,2448
06/27/2020,1353,1543
06/28/2020,1202,1379
06/29/2020,2501,2462
06/30/2020,2430,2608
