dates,CD16_entries,CD16_exits
01/01/2020,12662,13554
01/02/2020,30508,29677
01/03/2020,31562,29951
01/04/2020,16752,17092
01/05/2020,12888,14053
01/06/2020,33218,32651
01/07/2020,33901,32884
01/08/2020,34013,32530
01/09/2020,33720,31995
01/10/2020,33202,30646
01/11/2020,17794,18404
01/12/2020,13611,14737
01/13/2020,32965,31449
01/14/2020,34079,32758
01/15/2020,34727,33368
01/16/2020,34410,32905
01/17/2020,33094,31466
01/18/2020,15596,15065
01/19/2020,13240,13446
01/20/2020,19592,19112
01/21/2020,32166,30965
01/22/2020,33113,31501
01/23/2020,33239,31577
01/24/2020,33227,30875
01/25/2020,15666,15809
01/26/2020,13662,14589
01/27/2020,32492,31461
01/28/2020,34791,33504
01/29/2020,34933,33813
01/30/2020,34660,33148
01/31/2020,34853,33030
02/01/2020,17623,18337
02/02/2020,13395,14128
02/03/2020,29336,27924
02/04/2020,35205,33726
02/05/2020,35537,33711
02/06/2020,34854,32868
02/07/2020,34470,32690
02/08/2020,17856,18064
02/09/2020,13531,14502
02/10/2020,32728,32263
02/11/2020,29931,31909
02/12/2020,34666,32935
02/13/2020,34947,33111
02/14/2020,34083,32132
02/15/2020,16957,16414
02/16/2020,13541,13669
02/17/2020,20776,18889
02/18/2020,30095,28434
02/19/2020,30400,28572
02/20/2020,30086,28332
02/21/2020,29468,27885
02/22/2020,17563,17566
02/23/2020,13701,14443
02/24/2020,33845,32482
02/25/2020,34224,32806
02/26/2020,34742,33224
02/27/2020,34893,32987
02/28/2020,34530,32185
02/29/2020,17624,17949
03/01/2020,11443,13101
03/02/2020,34664,32987
03/03/2020,34944,33326
03/04/2020,35187,33724
03/05/2020,35021,33289
03/06/2020,33765,31879
03/07/2020,19219,19852
03/08/2020,13652,12719
03/09/2020,33374,30188
03/10/2020,32759,30002
03/11/2020,32809,29851
03/12/2020,30840,28419
03/13/2020,27772,26269
03/14/2020,13919,14297
03/15/2020,10257,11033
03/16/2020,20000,19662
03/17/2020,18005,17796
03/18/2020,17626,17600
03/19/2020,16388,16533
03/20/2020,15552,15743
03/21/2020,8021,9328
03/22/2020,5546,6578
03/23/2020,9645,10412
03/24/2020,10270,10963
03/25/2020,9631,10448
03/26/2020,9761,10434
03/27/2020,9501,10056
03/28/2020,4907,6061
03/29/2020,3940,4873
03/30/2020,8230,9008
03/31/2020,7637,8581
04/01/2020,8086,9116
04/02/2020,7735,8536
04/03/2020,7678,8769
04/04/2020,4312,5550
04/05/2020,3437,4651
04/06/2020,7109,8073
04/07/2020,7055,8370
04/08/2020,6946,8162
04/09/2020,6637,7515
04/10/2020,6541,7792
04/11/2020,4113,5240
04/12/2020,3051,4195
04/13/2020,5815,6815
04/14/2020,6852,8241
04/15/2020,6553,7961
04/16/2020,6482,8111
04/17/2020,6759,8301
04/18/2020,4017,5411
04/19/2020,3501,4832
04/20/2020,6959,8463
04/21/2020,6622,8046
04/22/2020,7092,8495
04/23/2020,7125,8359
04/24/2020,6908,8453
04/25/2020,4454,5878
04/26/2020,3263,4686
04/27/2020,7276,8600
04/28/2020,7464,8595
04/29/2020,7026,8448
04/30/2020,7072,8299
05/01/2020,7542,9149
05/02/2020,4569,6537
05/03/2020,3691,5360
05/04/2020,7582,9208
05/05/2020,7771,9428
05/06/2020,7268,8683
05/07/2020,7844,9188
05/08/2020,7601,9201
05/09/2020,4613,6335
05/10/2020,3971,5428
05/11/2020,7320,9041
05/12/2020,7986,9285
05/13/2020,8031,9535
05/14/2020,8254,9294
05/15/2020,8253,9933
05/16/2020,4771,6516
05/17/2020,3846,5432
05/18/2020,8187,9721
05/19/2020,8304,9893
05/20/2020,8331,9955
05/21/2020,8468,9979
05/22/2020,8597,10454
05/23/2020,4634,6535
05/24/2020,4044,5613
05/25/2020,5343,6760
05/26/2020,8767,10266
05/27/2020,8708,10392
05/28/2020,8535,10260
05/29/2020,8355,10217
05/30/2020,5293,7207
05/31/2020,4117,5839
06/01/2020,8623,10808
06/02/2020,8654,10590
06/03/2020,8770,10437
06/04/2020,8967,10979
06/05/2020,8657,10629
06/06/2020,5530,7296
06/07/2020,4472,5925
06/08/2020,9215,11109
06/09/2020,9726,11315
06/10/2020,9533,11334
06/11/2020,8946,10955
06/12/2020,10106,11743
06/13/2020,5879,7908
06/14/2020,5133,6989
06/15/2020,9762,11607
06/16/2020,10556,11783
06/17/2020,10352,12055
06/18/2020,10420,11684
06/19/2020,10383,12030
06/20/2020,6465,8323
06/21/2020,5113,6744
06/22/2020,10011,12046
06/23/2020,10493,12555
06/24/2020,10902,12589
06/25/2020,10459,12457
06/26/2020,10749,13032
06/27/2020,5876,8087
06/28/2020,5136,7264
06/29/2020,10980,12858
06/30/2020,11179,12793
