ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,ZCTA-to-MO,data-by-mo,data-by-_1,data-by-_2,data-by-_3,data-by-_4,data-by-_5,data-by-_6,data-by-_7,shape_ar_1,park/sqft,park/pop
11231,0,Brooklyn,33144,39379691.79,NY,Kings,36,47,http://www.usps.com/,0,0,11231,Downtown - Heights - Slope,Brooklyn,405,1094.75,36994.7,33,89.2,24.77,3387798.939,0.086029087,102.2145468
11232,0,Brooklyn,29521,55879065.15,NY,Kings,36,47,http://www.usps.com/,0,0,11232,Sunset Park,Brooklyn,504,1782.74,28271.09,39,137.95,36.29,1344064.085,0.024053088,45.52908387
11233,0,Brooklyn,66737,37871693.68,NY,Kings,36,47,http://www.usps.com/,0,0,11233,Bedford Stuyvesant - Crown Heights,Brooklyn,1209,1675.78,72145.54,123,170.49,33.52,1742159.716,0.046001632,26.10485511
11234,0,Brooklyn,85853,206201040.1,NY,Kings,36,47,http://www.usps.com/,0,0,11234,Canarsie - Flatlands,Brooklyn,2177,2284.25,95304.8,170,178.38,34.84,44937233.62,0.217929229,523.4206565
11235,0,Brooklyn,76130,69053803.03,NY,Kings,36,47,http://www.usps.com/,0,0,11235,Coney Island - Sheepshead Bay,Brooklyn,1963,2467.94,79540.14,260,326.88,33.45,13708676.94,0.198521679,180.0693149
11236,0,Brooklyn,94480,96373991.62,NY,Kings,36,47,http://www.usps.com/,0,0,11236,Canarsie - Flatlands,Brooklyn,2592,2676.39,96846.99,268,276.73,38.23,14142409.11,0.14674508,149.6868026
11237,0,Brooklyn,49335,27425868.17,NY,Kings,36,47,http://www.usps.com/,0,0,11237,Williamsburg - Bushwick,Brooklyn,912,1798.97,50695.72,102,201.2,34.97,650532.7044,0.023719676,13.18602826
11238,0,Brooklyn,46664,29429423.46,NY,Kings,36,47,http://www.usps.com/,0,0,11238,Bedford Stuyvesant - Crown Heights,Brooklyn,743,1375.52,54015.79,89,164.77,28.23,3958424.161,0.134505665,84.8282222
11239,0,Brooklyn,12562,41794660.77,NY,Kings,36,47,http://www.usps.com/,0,0,11239,Canarsie - Flatlands,Brooklyn,489,3939.3,12413.37,77,620.3,35.08,5784817.734,0.138410448,460.5013321
11249,0,Brooklyn,28481,17772206.17,NY,Kings,36,47,http://www.usps.com/,0,0,,,,,,,,,,1150419.264,0.064731371,40.39251656
11251,0,Brooklyn,74,10245952.25,NY,Kings,36,47,http://www.usps.com/,0,0,,,,,,,,,,3778.066061,0.000368737,51.05494677
