line,name,notes,objectid,url,boro_cd_count,boro_cd_unique,boro_cd_min,boro_cd_max,boro_cd_range,boro_cd_sum,boro_cd_mean,boro_cd_median,boro_cd_stddev,boro_cd_minority,boro_cd_majority,boro_cd_q1,boro_cd_q3,boro_cd_iqr,shape_area_count,shape_area_unique,shape_area_min,shape_area_max,shape_area_range,shape_area_sum,shape_area_mean,shape_area_median,shape_area_stddev,shape_area_minority,shape_area_majority,shape_area_q1,shape_area_q3,shape_area_iqr,shape_leng_count,shape_leng_unique,shape_leng_min,shape_leng_max,shape_leng_range,shape_leng_sum,shape_leng_mean,shape_leng_median,shape_leng_stddev,shape_leng_minority,shape_leng_majority,shape_leng_q1,shape_leng_q3,shape_leng_iqr
D-N-Q-R,Atlantic Av - Barclay's Center,"D,N-all times, R-all times exc nights","122.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","306.000000","306.000000","0.000000","306.000000","306.000000","306.000000","0.000000","306.000000","306.000000","306.000000","306.000000","0.000000","1","1","85497477.959200","85497477.959200","0.000000","85497477.959200","85497477.959200","85497477.959200","0.000000","85497477.959200","85497477.959200","85497477.959200","85497477.959200","0.000000","1","1","82130.540159","82130.540159","0.000000","82130.540159","82130.540159","82130.540159","0.000000","82130.540159","82130.540159","82130.540159","82130.540159","0.000000"
4-5,Borough Hall,"4-all times, 5-weekdays","123.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","302.000000","0.000000","1","1","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","79329421.101000","0.000000","1","1","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","74179.912504","0.000000"
A-C,Nostrand Ave,"A-all times, C-all times exc nights","127.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","303.000000","0.000000","1","1","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","79461359.640400","0.000000","1","1","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","36213.696037","0.000000"
2-3-4-5,Nevins St,"2,4-all times, 3-all times exc nights, 5-weekdays","128.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","302.000000","0.000000","1","1","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","79329421.101000","0.000000","1","1","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","74179.912504","0.000000"
2-3-4,Eastern Pkwy - Bklyn Museum,"4-nights, 3-all other times, 2-all times","129.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","355.000000","355.000000","0.000000","355.000000","355.000000","355.000000","0.000000","355.000000","355.000000","355.000000","355.000000","0.000000","1","1","26143862.243100","26143862.243100","0.000000","26143862.243100","26143862.243100","26143862.243100","0.000000","26143862.243100","26143862.243100","26143862.243100","26143862.243100","0.000000","1","1","23963.454616","23963.454616","0.000000","23963.454616","23963.454616","23963.454616","0.000000","23963.454616","23963.454616","23963.454616","23963.454616","0.000000"
2-5,Beverly Rd,"2-all times, 5-weekdays","130.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","317.000000","317.000000","0.000000","317.000000","317.000000","317.000000","0.000000","317.000000","317.000000","317.000000","317.000000","0.000000","1","1","93810206.710800","93810206.710800","0.000000","93810206.710800","93810206.710800","93810206.710800","0.000000","93810206.710800","93810206.710800","93810206.710800","93810206.710800","0.000000","1","1","43326.850623","43326.850623","0.000000","43326.850623","43326.850623","43326.850623","0.000000","43326.850623","43326.850623","43326.850623","43326.850623","0.000000"
2-5,Church Ave,"2-all times, 5-weekdays","131.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","317.000000","317.000000","0.000000","317.000000","317.000000","317.000000","0.000000","317.000000","317.000000","317.000000","317.000000","0.000000","1","1","93810206.710800","93810206.710800","0.000000","93810206.710800","93810206.710800","93810206.710800","0.000000","93810206.710800","93810206.710800","93810206.710800","93810206.710800","0.000000","1","1","43326.850623","43326.850623","0.000000","43326.850623","43326.850623","43326.850623","0.000000","43326.850623","43326.850623","43326.850623","43326.850623","0.000000"
2-5,Newkirk Ave,"2-all times, 5-weekdays","132.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","317.000000","317.000000","0.000000","317.000000","317.000000","317.000000","0.000000","317.000000","317.000000","317.000000","317.000000","0.000000","1","1","93810206.710800","93810206.710800","0.000000","93810206.710800","93810206.710800","93810206.710800","0.000000","93810206.710800","93810206.710800","93810206.710800","93810206.710800","0.000000","1","1","43326.850623","43326.850623","0.000000","43326.850623","43326.850623","43326.850623","0.000000","43326.850623","43326.850623","43326.850623","43326.850623","0.000000"
2-5,Brooklyn College - Flatbush Ave,"2-all times, 5-weekdays","133.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","314.000000","314.000000","0.000000","314.000000","314.000000","314.000000","0.000000","314.000000","314.000000","314.000000","314.000000","0.000000","1","1","82175671.729600","82175671.729600","0.000000","82175671.729600","82175671.729600","82175671.729600","0.000000","82175671.729600","82175671.729600","82175671.729600","82175671.729600","0.000000","1","1","49291.791313","49291.791313","0.000000","49291.791313","49291.791313","49291.791313","0.000000","49291.791313","49291.791313","49291.791313","49291.791313","0.000000"
2-5,Sterling St,"2-all times, 5-weekdays","134.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","309.000000","309.000000","0.000000","309.000000","309.000000","309.000000","0.000000","309.000000","309.000000","309.000000","309.000000","0.000000","1","1","45326297.567800","45326297.567800","0.000000","45326297.567800","45326297.567800","45326297.567800","0.000000","45326297.567800","45326297.567800","45326297.567800","45326297.567800","0.000000","1","1","29944.474498","29944.474498","0.000000","29944.474498","29944.474498","29944.474498","0.000000","29944.474498","29944.474498","29944.474498","29944.474498","0.000000"
3-4,Crown Hts - Utica Ave,"3-all times exc nights, 4-all times","135.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","308.000000","308.000000","0.000000","308.000000","308.000000","308.000000","0.000000","308.000000","308.000000","308.000000","308.000000","0.000000","1","1","45592893.957000","45592893.957000","0.000000","45592893.957000","45592893.957000","45592893.957000","0.000000","45592893.957000","45592893.957000","45592893.957000","45592893.957000","0.000000","1","1","38229.602837","38229.602837","0.000000","38229.602837","38229.602837","38229.602837","0.000000","38229.602837","38229.602837","38229.602837","38229.602837","0.000000"
3-4,Kingston Ave,"4-nights, 3-all other times","136.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","308.000000","308.000000","0.000000","308.000000","308.000000","308.000000","0.000000","308.000000","308.000000","308.000000","308.000000","0.000000","1","1","45592893.957000","45592893.957000","0.000000","45592893.957000","45592893.957000","45592893.957000","0.000000","45592893.957000","45592893.957000","45592893.957000","45592893.957000","0.000000","1","1","38229.602837","38229.602837","0.000000","38229.602837","38229.602837","38229.602837","0.000000","38229.602837","38229.602837","38229.602837","38229.602837","0.000000"
G,Nassau Ave,G-all times,"137.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
G,Greenpoint Ave,G-all times,"138.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
J-M-Z,Marcy Ave,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound","139.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
J-M,Hewes St,"J-all times, skips weekdays AM westbound, PM eastbound, M-all times exc nights","140.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
G,Metropolitan Ave,G-all times,"148.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
L,Grand St,L-all times,"149.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
L,Graham Ave,L-all times,"150.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
L,Bedford Ave,L-all times,"151.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
L,Montrose Ave,L-all times,"152.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
A-S,Grant Ave,"A-all times, S Euclid Av to Ozone Park-Lefferts Blvd-nights","192.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
L,Atlantic Ave,L-all times,"194.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
F-Q,W 8th St - NY Aquarium,"F,Q-all times","198.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","313.000000","313.000000","0.000000","313.000000","313.000000","313.000000","0.000000","313.000000","313.000000","313.000000","313.000000","0.000000","1","1","88195686.274800","88195686.274800","0.000000","88195686.274800","88195686.274800","88195686.274800","0.000000","88195686.274800","88195686.274800","88195686.274800","88195686.274800","0.000000","1","1","65821.875577","65821.875577","0.000000","65821.875577","65821.875577","65821.875577","0.000000","65821.875577","65821.875577","65821.875577","65821.875577","0.000000"
L,Myrtle - Wyckoff Aves,L-all times,"212.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","304.000000","0.000000","1","1","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","56663217.019100","0.000000","1","1","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","37008.100443","0.000000"
3-4,New Lots Ave,"4-nights, 3-all other times","213.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
A-C,Van Siclen Ave,"A-nights, C-all other times","214.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
J,Cleveland St,J-all times,"215.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
L,Livonia Ave,L-all times,"216.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","316.000000","0.000000","1","1","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","51768906.895300","0.000000","1","1","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","32997.574980","0.000000"
3-4,Junius St,"4-nights, 3-all other times","217.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","316.000000","0.000000","1","1","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","51768906.895300","0.000000","1","1","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","32997.574980","0.000000"
3-4,Rockaway Ave,"4-nights, 3-all other times","218.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","316.000000","0.000000","1","1","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","51768906.895300","0.000000","1","1","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","32997.574980","0.000000"
L,Canarsie - Rockaway Pkwy,L-all times,"219.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","318.000000","318.000000","0.000000","318.000000","318.000000","318.000000","0.000000","318.000000","318.000000","318.000000","318.000000","0.000000","1","1","235457542.788000","235457542.788000","0.000000","235457542.788000","235457542.788000","235457542.788000","0.000000","235457542.788000","235457542.788000","235457542.788000","235457542.788000","0.000000","1","1","189417.164716","189417.164716","0.000000","189417.164716","189417.164716","189417.164716","0.000000","189417.164716","189417.164716","189417.164716","189417.164716","0.000000"
L,E 105th St,L-all times,"220.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","318.000000","318.000000","0.000000","318.000000","318.000000","318.000000","0.000000","318.000000","318.000000","318.000000","318.000000","0.000000","1","1","235457542.788000","235457542.788000","0.000000","235457542.788000","235457542.788000","235457542.788000","0.000000","235457542.788000","235457542.788000","235457542.788000","235457542.788000","0.000000","1","1","189417.164716","189417.164716","0.000000","189417.164716","189417.164716","189417.164716","0.000000","189417.164716","189417.164716","189417.164716","189417.164716","0.000000"
3-4,Saratoga Ave,"4-nights, 3-all other times","221.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","316.000000","0.000000","1","1","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","51768906.895300","0.000000","1","1","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","32997.574980","0.000000"
3-4,Sutter Ave - Rutland Road,"4-nights, 3-all other times","222.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","316.000000","0.000000","1","1","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","51768906.895300","0.000000","1","1","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","32997.574980","0.000000"
L,New Lots Ave,L-all times,"223.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","318.000000","318.000000","0.000000","318.000000","318.000000","318.000000","0.000000","318.000000","318.000000","318.000000","318.000000","0.000000","1","1","235457542.788000","235457542.788000","0.000000","235457542.788000","235457542.788000","235457542.788000","0.000000","235457542.788000","235457542.788000","235457542.788000","235457542.788000","0.000000","1","1","189417.164716","189417.164716","0.000000","189417.164716","189417.164716","189417.164716","0.000000","189417.164716","189417.164716","189417.164716","189417.164716","0.000000"
J-Z,Broadway Junction,"J-all times, Z-rush hours AM westbound, PM eastbound","224.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","304.000000","0.000000","1","1","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","56663217.019100","0.000000","1","1","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","37008.100443","0.000000"
J,Alabama Ave,J-all times,"225.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
A-C,Shepherd Ave,"A-nights, C-all other times","226.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
J-Z,Crescent St,"J-all times, Z-rush hours AM westbound, PM eastbound","227.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
J,Cypress Hills,J-all times,"228.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
M,Myrtle - Wyckoff Aves,M-all times,"233.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","304.000000","0.000000","1","1","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","56663217.019100","0.000000","1","1","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","37008.100443","0.000000"
L,DeKalb Ave,L-all times,"235.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","304.000000","0.000000","1","1","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","56663217.019100","0.000000","1","1","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","37008.100443","0.000000"
S,Botanic Garden,S Franklin Av-Fulton St to Prospect Park-all times,"281.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","309.000000","309.000000","0.000000","309.000000","309.000000","309.000000","0.000000","309.000000","309.000000","309.000000","309.000000","0.000000","1","1","45326297.567800","45326297.567800","0.000000","45326297.567800","45326297.567800","45326297.567800","0.000000","45326297.567800","45326297.567800","45326297.567800","45326297.567800","0.000000","1","1","29944.474498","29944.474498","0.000000","29944.474498","29944.474498","29944.474498","0.000000","29944.474498","29944.474498","29944.474498","29944.474498","0.000000"
L,Bushwick - Aberdeen,L-all times,"282.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","304.000000","0.000000","1","1","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","56663217.019100","0.000000","1","1","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","37008.100443","0.000000"
L,Broadway Junction,L-all times,"283.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
S,Franklin Ave - Fulton St,S to Prospect Park-all times,"288.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","303.000000","0.000000","1","1","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","79461359.640400","0.000000","1","1","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","36213.696037","0.000000"
A-C,Utica Ave,"A-all times, C-all times exc nights","298.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","303.000000","0.000000","1","1","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","79461359.640400","0.000000","1","1","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","36213.696037","0.000000"
J,Kosciuszko St,J-all times,"300.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","304.000000","0.000000","1","1","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","56663217.019100","0.000000","1","1","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","37008.100443","0.000000"
