line,name,notes,objectid,url,boro_cd_count,boro_cd_unique,boro_cd_min,boro_cd_max,boro_cd_range,boro_cd_sum,boro_cd_mean,boro_cd_median,boro_cd_stddev,boro_cd_minority,boro_cd_majority,boro_cd_q1,boro_cd_q3,boro_cd_iqr,shape_area_count,shape_area_unique,shape_area_min,shape_area_max,shape_area_range,shape_area_sum,shape_area_mean,shape_area_median,shape_area_stddev,shape_area_minority,shape_area_majority,shape_area_q1,shape_area_q3,shape_area_iqr,shape_leng_count,shape_leng_unique,shape_leng_min,shape_leng_max,shape_leng_range,shape_leng_sum,shape_leng_mean,shape_leng_median,shape_leng_stddev,shape_leng_minority,shape_leng_majority,shape_leng_q1,shape_leng_q3,shape_leng_iqr
2-5,Winthrop St,"2-all times, 5-weekdays","45.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","309.000000","309.000000","0.000000","309.000000","309.000000","309.000000","0.000000","309.000000","309.000000","309.000000","309.000000","0.000000","1","1","45326297.567800","45326297.567800","0.000000","45326297.567800","45326297.567800","45326297.567800","0.000000","45326297.567800","45326297.567800","45326297.567800","45326297.567800","0.000000","1","1","29944.474498","29944.474498","0.000000","29944.474498","29944.474498","29944.474498","0.000000","29944.474498","29944.474498","29944.474498","29944.474498","0.000000"
3-4,Van Siclen Ave,"4-nights, 3-all other times","46.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
B-Q-S,Prospect Park,"B-weekdays and evenings, Q,S to Franklin Av-Fulton St-all times","61.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","309.000000","309.000000","0.000000","309.000000","309.000000","309.000000","0.000000","309.000000","309.000000","309.000000","309.000000","0.000000","1","1","45326297.567800","45326297.567800","0.000000","45326297.567800","45326297.567800","45326297.567800","0.000000","45326297.567800","45326297.567800","45326297.567800","45326297.567800","0.000000","1","1","29944.474498","29944.474498","0.000000","29944.474498","29944.474498","29944.474498","0.000000","29944.474498","29944.474498","29944.474498","29944.474498","0.000000"
D,55th St,D-all times,"62.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","312.000000","312.000000","0.000000","312.000000","312.000000","312.000000","0.000000","312.000000","312.000000","312.000000","312.000000","0.000000","1","1","99525500.065500","99525500.065500","0.000000","99525500.065500","99525500.065500","99525500.065500","0.000000","99525500.065500","99525500.065500","99525500.065500","99525500.065500","0.000000","1","1","52245.830484","52245.830484","0.000000","52245.830484","52245.830484","52245.830484","0.000000","52245.830484","52245.830484","52245.830484","52245.830484","0.000000"
F,Ditmas Ave,F-all times,"69.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","312.000000","312.000000","0.000000","312.000000","312.000000","312.000000","0.000000","312.000000","312.000000","312.000000","312.000000","0.000000","1","1","99525500.065500","99525500.065500","0.000000","99525500.065500","99525500.065500","99525500.065500","0.000000","99525500.065500","99525500.065500","99525500.065500","99525500.065500","0.000000","1","1","52245.830484","52245.830484","0.000000","52245.830484","52245.830484","52245.830484","0.000000","52245.830484","52245.830484","52245.830484","52245.830484","0.000000"
G,Classon Ave,G-all times,"70.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","303.000000","0.000000","1","1","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","79461359.640400","0.000000","1","1","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","36213.696037","0.000000"
G,Broadway,G-all times,"71.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
L,Lorimer St,L-all times,"72.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
L,Sutter Ave,L-all times,"73.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","316.000000","0.000000","1","1","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","51768906.895300","0.000000","1","1","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","32997.574980","0.000000"
L,Wilson Ave,L-all times,"74.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","304.000000","0.000000","1","1","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","56663217.019100","0.000000","1","1","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","37008.100443","0.000000"
J,Halsey St,J-all times,"75.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","0.000000","304.000000","304.000000","304.000000","304.000000","0.000000","1","1","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","0.000000","56663217.019100","56663217.019100","56663217.019100","56663217.019100","0.000000","1","1","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","0.000000","37008.100443","37008.100443","37008.100443","37008.100443","0.000000"
J-M,Lorimer St,"J-all times, skips weekdays AM westbound, PM eastbound, M-all times exc nights","76.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","0.000000","301.000000","301.000000","301.000000","301.000000","0.000000","1","1","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","0.000000","131741741.814000","131741741.814000","131741741.814000","131741741.814000","0.000000","1","1","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","0.000000","68957.739545","68957.739545","68957.739545","68957.739545","0.000000"
N,8th Ave,N-all times,"77.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","307.000000","307.000000","0.000000","307.000000","307.000000","307.000000","0.000000","307.000000","307.000000","307.000000","307.000000","0.000000","1","1","104130713.230000","104130713.230000","0.000000","104130713.230000","104130713.230000","104130713.230000","0.000000","104130713.230000","104130713.230000","104130713.230000","104130713.230000","0.000000","1","1","87416.959921","87416.959921","0.000000","87416.959921","87416.959921","87416.959921","0.000000","87416.959921","87416.959921","87416.959921","87416.959921","0.000000"
S,Park Pl,S Franklin Av-Fulton St to Prospect Park-all times,"82.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","308.000000","308.000000","0.000000","308.000000","308.000000","308.000000","0.000000","308.000000","308.000000","308.000000","308.000000","0.000000","1","1","45592893.957000","45592893.957000","0.000000","45592893.957000","45592893.957000","45592893.957000","0.000000","45592893.957000","45592893.957000","45592893.957000","45592893.957000","0.000000","1","1","38229.602837","38229.602837","0.000000","38229.602837","38229.602837","38229.602837","0.000000","38229.602837","38229.602837","38229.602837","38229.602837","0.000000"
Q,Ocean Pkwy,Q-all times,"100.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","313.000000","313.000000","0.000000","313.000000","313.000000","313.000000","0.000000","313.000000","313.000000","313.000000","313.000000","0.000000","1","1","88195686.274800","88195686.274800","0.000000","88195686.274800","88195686.274800","88195686.274800","0.000000","88195686.274800","88195686.274800","88195686.274800","88195686.274800","0.000000","1","1","65821.875577","65821.875577","0.000000","65821.875577","65821.875577","65821.875577","0.000000","65821.875577","65821.875577","65821.875577","65821.875577","0.000000"
G,Bedford - Nostrand Aves,G-all times,"106.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","303.000000","0.000000","1","1","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","79461359.640400","0.000000","1","1","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","36213.696037","0.000000"
F-G,15th St - Prospect Park,"F,G-all times","107.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","307.000000","307.000000","0.000000","307.000000","307.000000","307.000000","0.000000","307.000000","307.000000","307.000000","307.000000","0.000000","1","1","104130713.230000","104130713.230000","0.000000","104130713.230000","104130713.230000","104130713.230000","0.000000","104130713.230000","104130713.230000","104130713.230000","104130713.230000","0.000000","1","1","87416.959921","87416.959921","0.000000","87416.959921","87416.959921","87416.959921","0.000000","87416.959921","87416.959921","87416.959921","87416.959921","0.000000"
F-G,7th Ave,"F,G-all times","108.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","306.000000","306.000000","0.000000","306.000000","306.000000","306.000000","0.000000","306.000000","306.000000","306.000000","306.000000","0.000000","1","1","85497477.959200","85497477.959200","0.000000","85497477.959200","85497477.959200","85497477.959200","0.000000","85497477.959200","85497477.959200","85497477.959200","85497477.959200","0.000000","1","1","82130.540159","82130.540159","0.000000","82130.540159","82130.540159","82130.540159","0.000000","82130.540159","82130.540159","82130.540159","82130.540159","0.000000"
F-G,Ft Hamilton Pkwy,"F,G-all times","109.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","307.000000","307.000000","0.000000","307.000000","307.000000","307.000000","0.000000","307.000000","307.000000","307.000000","307.000000","0.000000","1","1","104130713.230000","104130713.230000","0.000000","104130713.230000","104130713.230000","104130713.230000","0.000000","104130713.230000","104130713.230000","104130713.230000","104130713.230000","0.000000","1","1","87416.959921","87416.959921","0.000000","87416.959921","87416.959921","87416.959921","0.000000","87416.959921","87416.959921","87416.959921","87416.959921","0.000000"
F-G,Church Ave,"F,G-all times","110.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","312.000000","312.000000","0.000000","312.000000","312.000000","312.000000","0.000000","312.000000","312.000000","312.000000","312.000000","0.000000","1","1","99525500.065500","99525500.065500","0.000000","99525500.065500","99525500.065500","99525500.065500","0.000000","99525500.065500","99525500.065500","99525500.065500","99525500.065500","0.000000","1","1","52245.830484","52245.830484","0.000000","52245.830484","52245.830484","52245.830484","0.000000","52245.830484","52245.830484","52245.830484","52245.830484","0.000000"
Q,Beverly Rd,Q-all times,"111.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","314.000000","314.000000","0.000000","314.000000","314.000000","314.000000","0.000000","314.000000","314.000000","314.000000","314.000000","0.000000","1","1","82175671.729600","82175671.729600","0.000000","82175671.729600","82175671.729600","82175671.729600","0.000000","82175671.729600","82175671.729600","82175671.729600","82175671.729600","0.000000","1","1","49291.791313","49291.791313","0.000000","49291.791313","49291.791313","49291.791313","0.000000","49291.791313","49291.791313","49291.791313","49291.791313","0.000000"
B-Q,Church Ave,"B-weekdays and evenings, Q-all times","112.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","314.000000","314.000000","0.000000","314.000000","314.000000","314.000000","0.000000","314.000000","314.000000","314.000000","314.000000","0.000000","1","1","82175671.729600","82175671.729600","0.000000","82175671.729600","82175671.729600","82175671.729600","0.000000","82175671.729600","82175671.729600","82175671.729600","82175671.729600","0.000000","1","1","49291.791313","49291.791313","0.000000","49291.791313","49291.791313","49291.791313","0.000000","49291.791313","49291.791313","49291.791313","49291.791313","0.000000"
B-Q,Newkirk Ave,"B-weekdays and evenings, Q-all times","113.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","314.000000","314.000000","0.000000","314.000000","314.000000","314.000000","0.000000","314.000000","314.000000","314.000000","314.000000","0.000000","1","1","82175671.729600","82175671.729600","0.000000","82175671.729600","82175671.729600","82175671.729600","0.000000","82175671.729600","82175671.729600","82175671.729600","82175671.729600","0.000000","1","1","49291.791313","49291.791313","0.000000","49291.791313","49291.791313","49291.791313","0.000000","49291.791313","49291.791313","49291.791313","49291.791313","0.000000"
Q,Parkside Ave,Q-all times,"114.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","309.000000","309.000000","0.000000","309.000000","309.000000","309.000000","0.000000","309.000000","309.000000","309.000000","309.000000","0.000000","1","1","45326297.567800","45326297.567800","0.000000","45326297.567800","45326297.567800","45326297.567800","0.000000","45326297.567800","45326297.567800","45326297.567800","45326297.567800","0.000000","1","1","29944.474498","29944.474498","0.000000","29944.474498","29944.474498","29944.474498","0.000000","29944.474498","29944.474498","29944.474498","29944.474498","0.000000"
2-3-4,Grand Army Plaza,"4-nights, 3-all other times, 2-all times","115.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","355.000000","355.000000","0.000000","355.000000","355.000000","355.000000","0.000000","355.000000","355.000000","355.000000","355.000000","0.000000","1","1","26143862.243100","26143862.243100","0.000000","26143862.243100","26143862.243100","26143862.243100","0.000000","26143862.243100","26143862.243100","26143862.243100","26143862.243100","0.000000","1","1","23963.454616","23963.454616","0.000000","23963.454616","23963.454616","23963.454616","0.000000","23963.454616","23963.454616","23963.454616","23963.454616","0.000000"
2-3-4-5,Atlantic Av - Barclay's Center,"2,4-all times, 3-all times exc nights, 5-weekdays","116.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","302.000000","0.000000","1","1","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","79329421.101000","0.000000","1","1","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","74179.912504","0.000000"
A-C,Rockaway Ave,"A-nights, C-all other times","117.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","316.000000","0.000000","1","1","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","51768906.895300","0.000000","1","1","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","32997.574980","0.000000"
G,Fulton St,G-all times,"118.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","302.000000","0.000000","1","1","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","79329421.101000","0.000000","1","1","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","74179.912504","0.000000"
G,Clinton - Washington Aves,G-all times,"119.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","302.000000","0.000000","1","1","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","79329421.101000","0.000000","1","1","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","74179.912504","0.000000"
B-Q,7th Ave,"B-weekdays and evenings, Q-all times","120.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","306.000000","306.000000","0.000000","306.000000","306.000000","306.000000","0.000000","306.000000","306.000000","306.000000","306.000000","0.000000","1","1","85497477.959200","85497477.959200","0.000000","85497477.959200","85497477.959200","85497477.959200","0.000000","85497477.959200","85497477.959200","85497477.959200","85497477.959200","0.000000","1","1","82130.540159","82130.540159","0.000000","82130.540159","82130.540159","82130.540159","0.000000","82130.540159","82130.540159","82130.540159","82130.540159","0.000000"
B-Q,Atlantic Av - Barclay's Center,"B-weekdays and evenings, Q-all times","121.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","302.000000","0.000000","1","1","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","79329421.101000","0.000000","1","1","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","74179.912504","0.000000"
